	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
RPSAP76	0	1	0	0	0	0	1	0
PVRIG2P	14	9	5	6	11	6	1	7
BTG3P1	0	1	1	2	2	0	0	3
AC016723.1	1	1	0	0	0	0	0	0
AC093083.1	0	4	3	0	0	3	1	0
DUSP5P2	2	2	0	0	0	0	0	1
GEMIN2P2	1	5	4	0	1	0	4	0
LINC01665	3	2	0	3	2	1	0	0
Z84478.1	2	0	5	3	5	9	1	0
AC016769.3	1	1	0	2	0	2	1	0
AL606490.8	1	0	1	0	1	0	3	3
AC114730.3	16	5	7	6	20	21	8	10
AC023128.2	0	0	5	1	4	0	0	1
RPS29P16	3	4	2	5	0	2	3	0
RP11-381O7.4	0	0	0	0	0	0	0	0
AL592466.1	2	2	15	6	15	9	0	0
LINC01621	0	0	3	0	0	0	0	0
AC093151.3	2	2	4	2	5	3	8	5
AC016292.1	0	0	1	0	0	1	0	0
SNRPGP10	195	101	100	131	252	202	96	139
LINC01055	0	0	2	0	1	1	0	1
SAPCD2P2	2	0	0	0	0	1	0	0
RPL36AP15	10	2	2	3	5	4	3	3
DNM1P51	8	10	2	4	1	6	2	0
AL122018.1	5	2	1	2	1	0	2	3
RP11-206L10.3	12	16	12	6	8	10	0	0
SSR4P1	1	1	1	0	10	4	3	3
RPEL1	3	7	6	7	2	7	5	2
AL158047.1	0	0	0	0	0	0	0	1
MRPS10P1	0	0	6	2	2	0	0	0
RPL7P31	0	0	0	0	7	1	1	4
AL596202.1	25	9	12	13	9	16	14	9
MTND4P31	0	4	0	3	2	1	1	1
LINC02154	3	0	8	7	9	6	2	1
AC113174.1	1	0	1	0	1	2	0	0
SPAAR	3	9	4	6	3	3	3	6
AC018696.7	0	0	2	0	0	0	0	0
AL583805.2	3	0	0	0	0	0	0	0
AC051619.1	0	0	0	0	0	0	0	0
EPN2-AS1	5	2	2	0	1	4	3	5
AL135902.1	1	0	0	0	0	0	0	0
AC114808.1	0	0	0	1	0	0	1	0
CYMP-AS1	8	2	5	4	6	4	29	11
SNORA71B	5	9	1	1	6	3	0	0
AL157896.1	0	2	1	0	0	2	0	2
AC007041.1	21	11	4	1	12	10	6	3
TTTY4B	0	0	0	0	0	0	0	0
KRT18P63	8	6	2	2	2	3	2	1
RPSAP24	0	0	3	0	4	1	0	0
AC005808.1	2	0	0	0	1	3	0	1
AC233728.2	0	1	1	1	0	0	0	0
AC010149.1	2	2	3	0	1	3	1	0
RPL29P30	4	1	0	0	3	0	0	1
AC114501.2	0	0	0	0	0	0	0	1
KATNBL1P3	2	0	0	0	0	0	1	1
AC068768.1	361	159	221	278	200	185	314	360
SUMO2P10	4	1	3	5	5	2	0	2
RPS7P13	0	0	4	3	2	5	0	3
AL133481.1	15	12	6	6	10	13	4	10
AC006159.1	0	0	0	2	0	2	0	0
WI2-2998D17.2	0	0	0	0	0	0	0	0
ZSWIM5P1	2	1	4	4	0	0	1	2
AC004936.1	0	0	5	1	2	3	0	1
AL663074.2	0	0	4	1	0	0	0	0
MTATP6P17	0	1	0	0	0	0	3	1
AL391883.1	0	0	0	1	1	0	1	0
AC096666.1	4	2	2	3	7	3	0	2
DPY19L2P4	0	0	4	2	6	1	1	0
LINC01278	132	131	78	92	148	104	89	83
ESRRAP2	6	3	8	4	8	1	8	1
AC011742.3	3	4	5	3	1	1	0	1
PSMB3P2	0	1	0	0	0	0	0	0
AC016027.3	1	0	0	0	0	0	0	0
AL512271.1	0	1	2	0	0	2	1	2
TRAPPC13P1	0	0	4	8	8	5	1	1
LURAP1L-AS1	70	67	32	26	100	96	46	64
AC098934.3	11	5	3	7	4	8	3	0
AC079760.1	0	2	2	0	1	0	1	0
PNPLA4P1	0	0	0	0	0	0	0	0
SMIM27	152	108	75	123	96	74	100	104
HAUS6P3	0	0	0	0	1	0	0	1
IQCF5-AS1	1	1	1	0	0	0	0	5
RPS26P31	2	0	0	1	8	1	0	2
AC003001.1	4	0	8	1	1	3	0	0
TAB3P1	0	0	0	0	0	0	0	0
AC078974.1	0	0	0	0	0	0	2	1
AC007652.1	1	1	2	0	0	0	0	0
RPL10AP5	2	2	1	1	4	0	0	0
MRPL50P4	0	0	0	0	0	0	1	0
NEURL1-AS1	1	0	1	1	2	0	0	0
EIF4A1P7	6	2	3	6	4	5	3	3
LINC01664	8	6	1	3	3	2	1	0
RAB9AP4	0	0	0	0	0	0	0	0
AC013270.1	0	0	0	2	0	0	1	0
UBE2R2-AS1	5	7	5	10	2	1	8	3
RPL21P135	0	2	7	1	2	3	0	1
GYG2-AS1	0	0	0	1	1	0	0	0
AL021877.1	4	0	0	0	0	0	0	0
AC114755.5	0	0	4	0	0	0	1	1
JARID2-AS1	0	2	0	1	1	0	1	1
DBF4P1	4	1	3	1	3	3	8	6
LINC01889	0	0	7	2	0	4	0	1
LINC01221	0	2	5	2	2	4	0	2
LINC01967	11	6	28	15	17	4	8	7
AL590705.2	0	0	0	0	0	0	0	0
AC007422.2	0	1	0	1	0	1	2	1
RP11-101E5.2	0	0	0	0	0	0	0	0
AC012506.4	3	0	0	3	2	0	3	0
AC073046.1	0	0	1	2	1	1	0	1
SNX19P2	0	1	1	1	0	2	0	0
AC105942.1	65	50	36	27	31	42	21	25
AC079799.1	0	1	2	1	3	0	0	2
CASP17P	9	3	47	15	37	8	2	7
RPS2P7	2	3	4	10	2	7	5	17
BX842568.4	0	0	0	0	0	0	0	0
OFD1P18Y	0	0	0	0	0	0	0	0
TAB3-AS2	272	488	178	218	671	539	111	171
AL035681.1	33	25	25	27	29	24	10	14
LLPHP2	3	0	2	0	1	0	1	1
AC011196.1	0	0	0	1	0	0	0	0
LINC01815	0	0	3	1	1	1	2	0
USP9YP27	0	0	0	0	0	0	0	0
AC010978.1	12	19	10	18	4	4	4	8
AL135924.2	0	0	0	0	0	0	0	1
MTCO1P23	0	0	5	1	1	0	2	0
FTLP1	0	0	0	0	0	0	0	0
AL355990.2	0	2	0	2	0	0	0	0
HIPK1-AS1	6	5	5	2	1	0	3	1
AGAP1-IT1	2	3	2	0	0	1	0	0
AC087294.1	3	7	1	5	5	6	11	3
MSC-AS1	6	0	25	12	23	6	5	2
LINC00402	10	3	19	16	11	3	3	0
AL360089.1	0	1	0	2	0	0	0	1
FECHP1	1	0	0	1	2	1	0	0
TRDN-AS1	6	7	17	6	8	18	6	10
AC009411.2	1	5	11	5	2	2	0	0
AL137005.1	0	0	5	1	3	3	0	0
MTND1P33	0	0	0	0	1	0	3	0
RPS11P1	0	0	0	0	4	1	0	0
AC103923.1	2	0	0	2	5	5	1	0
AC087499.4	4	3	0	0	1	0	0	0
NDUFB11P1	0	0	1	0	0	0	0	2
AC073551.1	2	0	4	0	1	0	0	0
EIF1P2	0	1	0	3	1	1	0	2
ANKRD26P2	6	6	8	2	3	1	7	4
RPL6P27	593	479	341	484	487	405	446	410
AC005822.1	0	2	4	2	4	0	0	3
SUMO1P4	5	0	1	3	1	3	1	0
NOP56P1	0	0	0	0	0	0	0	0
AC002310.1	17	7	7	12	9	11	10	8
AL445183.2	2	0	0	1	0	0	1	0
AP000477.2	0	0	8	0	1	1	0	0
RP11-435B5.7	5	0	5	6	10	7	0	4
NFAM1	26	10	9	5	4	3	3	6
LINC00533	0	0	0	0	0	0	0	0
SNX18P14	0	0	0	0	0	0	0	1
AL353615.1	1	0	0	0	0	0	0	0
AC005005.2	1	3	0	0	0	0	0	0
AC073150.1	1	0	0	3	1	0	0	0
Z99758.1	0	1	1	0	1	1	0	0
LINC01871	0	0	0	1	1	0	0	1
AC007731.3	1	1	1	1	0	0	0	1
AC007283.2	6	2	1	1	3	9	0	4
AC005011.1	0	0	0	0	0	0	0	0
AL365258.2	0	0	4	3	1	0	3	2
AC007562.1	0	0	0	0	0	0	0	0
AC008268.1	0	0	1	0	0	0	0	1
AC011247.2	7	8	4	3	7	3	5	0
GAPDHP65	18	26	13	21	27	24	9	16
GNAS-AS1	4	5	2	3	3	4	0	0
AC004674.1	0	0	0	3	7	0	0	0
RBMS3-AS1	0	3	1	1	1	4	1	0
AL139824.2	1	0	0	0	0	0	0	0
GAPDHP23	12	1	5	5	6	3	9	2
LINC01102	2	1	7	6	8	4	7	5
RRM2P4	0	0	0	0	0	0	2	0
BARX1-DT	4	0	1	0	0	1	2	1
POU5F1P3	0	5	4	0	0	0	0	1
AL355472.2	0	1	1	4	4	2	4	1
AK4P6	0	0	2	0	0	0	0	1
NKX1-1	0	0	0	0	0	0	0	0
AF127577.4	85	36	36	30	38	35	32	29
AC013448.2	1	0	5	3	3	0	0	0
AL353681.1	0	0	3	2	4	1	0	2
NSRP1P1	6	5	9	2	2	1	5	2
AJ239322.1	1	0	3	4	6	3	1	2
ST13P2	0	1	0	0	1	0	1	0
AC016027.4	2	2	0	3	1	1	0	0
FAM21EP	3	3	0	2	5	3	0	3
RPL36AP33	4	16	4	4	0	3	1	2
AC020743.3	0	0	0	0	0	0	0	2
LINC00494	0	0	2	2	1	1	1	2
OR7E110P	0	1	0	0	0	0	0	1
AL138957.1	1	0	3	0	1	3	0	2
KRT18P66	3	0	0	1	0	2	0	2
SNRPFP4	0	0	0	0	0	0	0	0
TNR-IT1	0	0	2	0	2	0	3	0
AC090952.1	0	0	1	0	0	0	0	0
RNF148	1	3	10	7	7	5	2	0
AC016644.1	11	20	10	24	20	31	7	6
NUS1P1	44	34	7	6	20	31	32	20
AC069023.1	0	0	0	0	0	0	0	0
MTND6P14	0	0	0	1	0	0	0	0
AC002069.1	0	0	12	7	7	2	0	2
AC092646.2	0	0	2	8	2	0	2	0
PTP4A1P5	0	0	3	0	0	0	0	0
LINC01647	2	1	1	0	0	0	0	0
RPL10P5	1	0	1	1	0	0	0	0
AL450311.1	2	2	0	0	0	0	1	0
MTND1P2	1	0	2	1	2	0	2	1
AL022319.1	0	0	0	2	0	0	0	1
MXRA5Y	0	0	0	0	0	0	0	1
AC064850.1	1	0	2	3	2	1	3	0
AL356599.1	135	93	75	74	119	121	66	50
AC007253.1	0	1	0	0	1	0	0	0
H3F3AP4	735	398	343	377	424	387	449	317
RPL36P18	5	0	6	0	2	2	0	0
AL391987.4	0	0	0	0	0	0	0	0
LINC00345	2	2	3	5	0	0	2	3
MIR670HG	3	1	0	2	0	0	3	0
SAPCD1-AS1	0	0	0	0	0	0	0	0
LINC00298	84	90	42	37	64	71	92	95
AC004593.1	0	0	0	0	2	1	0	2
RPL21P40	0	0	0	1	0	1	0	0
AC090286.2	3	1	2	0	1	2	0	0
AL929472.4	0	0	0	0	0	0	0	0
LDHAP2	3	13	8	6	5	4	3	6
AC151961.1	1	0	0	0	0	0	0	0
NPM1P26	6	5	2	3	3	5	2	5
OR5AN2P	4	3	9	3	15	8	2	0
AC245884.3	1	3	1	2	2	0	1	1
AC018442.1	2	1	2	0	0	0	0	0
AC092473.1	0	0	0	0	0	0	2	1
PPIAP20	1	0	0	1	0	2	0	1
LINC00993	4	0	10	1	6	1	0	2
AC116614.1	3	0	0	0	0	0	0	0
AC253536.4	1	1	0	0	0	0	3	0
CUBNP3	4	0	11	2	3	7	1	2
AC006987.3	0	0	0	0	0	0	0	0
AC130472.1	1	1	1	0	2	1	1	1
PA2G4P2	3	5	7	3	7	6	6	4
CXorf51B	0	0	0	0	0	0	0	0
CYCSP52	1	0	0	0	11	9	0	2
PCBP2P1	1	0	2	0	0	1	0	4
WI2-925H4.1	0	0	3	2	0	1	0	0
LINC00894	23	22	18	16	37	16	9	8
AL133481.2	0	0	0	0	2	0	0	0
DICER1-AS1	15	15	7	15	27	15	2	8
AL158073.1	0	0	1	3	0	0	0	0
AL109810.2	1	2	0	0	0	0	1	0
ANKRD34C	4	0	1	0	0	2	0	1
AC004522.1	0	2	0	0	0	0	0	0
KRT18P46	1	0	0	0	2	0	0	0
DPP10-AS2	1	1	2	1	1	0	0	0
MFRP	18	5	3	4	3	2	2	3
FAM197Y10	0	0	0	0	0	0	0	0
GABPAP	18	9	10	12	13	9	14	8
AC013268.3	0	0	1	1	0	0	1	0
AC009299.3	10	6	7	12	4	5	7	3
AC007389.3	5	1	2	2	2	0	0	0
AC010148.1	1	1	6	3	0	2	0	1
AC007349.3	4	2	1	0	1	0	0	0
AL500522.2	0	1	0	1	0	0	0	0
OR2AF1P	0	4	0	0	1	1	0	1
LINC02250	2	4	5	3	4	0	0	2
HMGN1P36	10	7	1	7	8	2	6	3
RPL7AP72	0	0	2	6	1	2	0	0
AL031275.1	0	0	2	0	1	1	0	0
TRIM60P19	0	0	1	1	5	1	0	0
AC092647.4	1	2	1	3	0	0	0	0
PHACTR2-AS1	4	3	6	5	4	2	1	0
AC012308.1	0	0	0	0	0	0	0	0
AL139231.1	2	2	2	3	1	0	0	0
CTBP2P2	5	1	1	2	2	0	1	2
SEPT14P12	2	0	1	0	0	0	0	0
AL390860.1	0	0	4	0	2	1	1	0
KIAA0040	91	53	33	24	42	39	41	12
AC098657.1	0	0	1	1	5	0	1	0
ARHGAP42P3	2	2	0	0	5	1	0	1
HCG2040054	8	3	0	0	3	0	0	4
MTCO3P46	1	0	4	0	1	0	0	0
SNRPGP5	0	1	3	1	0	1	5	1
BRD7P5	2	1	1	1	3	4	3	2
LINC00607	29	19	27	8	35	36	39	38
AP001625.2	1	1	0	1	0	0	0	0
AC023347.1	4	0	9	1	2	1	1	1
AC063976.4	0	0	0	1	0	1	0	0
AC000089.1	13	11	5	18	12	8	2	9
DPYD-AS2	2	0	4	5	4	4	1	0
AC130360.1	0	3	0	0	1	0	0	0
AC079779.3	2	1	3	0	0	1	0	1
USP17L27	0	0	0	0	0	0	0	0
LINC02569	0	0	0	0	0	0	0	0
AL031429.1	2	0	6	1	5	3	0	3
HNRNPA1P29	15	20	6	10	17	13	7	16
AL109767.1	1	0	0	0	3	1	0	0
ZNRF3-IT1	2	2	0	1	8	8	0	2
AC092047.1	0	0	0	0	0	0	0	0
AC114488.2	39	24	20	23	21	34	18	34
MTND3P21	0	0	2	0	0	1	0	0
AC093157.2	5	0	2	2	0	0	2	0
AL160275.2	0	0	1	0	0	0	0	1
HCFC1-AS1	1	0	1	0	0	0	1	0
MTCO2P23	0	0	3	1	2	0	0	0
AL357078.2	0	0	1	2	0	0	0	0
SOCS5P3	0	2	1	1	3	0	0	0
AF241728.1	2	2	3	5	4	0	1	2
MYL6P2	1	3	1	2	0	0	0	0
AL731534.1	0	0	1	0	0	0	0	0
AL691482.2	1	0	0	0	0	0	0	0
ADAM21P1	3	2	10	5	7	7	1	0
AL672032.1	59	68	40	43	16	5	93	65
AL136099.1	0	1	0	3	0	0	0	0
PRELID1P3	0	1	0	0	0	0	0	0
AL158214.1	0	0	2	0	2	7	0	0
VN1R17P	1	1	2	1	0	0	0	0
AL158828.1	0	0	2	0	1	0	0	0
AL109935.1	0	0	0	2	1	1	2	1
IFITM4P	0	0	0	0	0	0	0	0
OLMALINC	20	28	23	33	47	40	33	31
LINC00837	9	7	3	4	2	5	2	0
TUBB8P9	3	1	3	3	0	0	0	0
RPL36AP26	0	0	0	2	0	2	0	0
TBCAP2	1	0	0	1	0	0	0	0
SRGAP3-AS4	0	0	0	0	1	0	2	0
BHLHE40-AS1	5	7	18	10	31	19	18	15
CNN2P3	6	2	0	0	0	0	0	0
AC017099.1	0	0	0	0	1	0	0	0
Z93022.1	3	0	6	0	3	2	0	1
KIF3AP1	0	0	0	0	0	0	0	0
AC073333.1	62	58	30	29	74	58	60	41
HSP90AB7P	2	0	16	8	15	4	7	0
AC012363.2	0	0	1	0	0	3	0	1
AL390961.2	0	0	0	1	2	1	0	0
LDHAP7	3	2	2	4	7	7	18	5
RMDN2-AS1	9	7	4	6	5	4	10	9
HS6ST2-AS1	0	0	0	0	0	1	0	1
AC005540.1	23	20	15	16	28	21	6	10
OR7E145P	0	0	0	0	0	0	0	0
CTBP2P1	0	2	5	2	2	0	1	0
AC006978.1	42	29	19	12	24	23	15	18
AC005237.2	1	0	0	1	2	0	0	1
AL590648.2	9	4	4	2	34	14	4	0
B3GALT4	0	0	0	0	0	0	0	0
HSPA8P6	0	0	0	0	1	0	1	0
GSN-AS1	20	18	18	26	10	11	5	7
GAPDHP31	10	3	11	6	6	0	0	3
Z99127.2	1	5	0	0	0	0	1	0
AC062016.2	0	1	0	5	2	3	0	0
AC078777.1	38	33	34	39	16	13	41	31
ARHGEF7-AS2	1	0	0	0	0	1	0	0
FEM1AP4	4	0	0	0	0	0	0	0
FAR1P1	3	0	1	1	6	1	3	3
AL158832.1	0	0	1	2	4	2	0	1
AC114776.1	9	0	5	3	4	0	1	1
LINC00941	28	34	12	27	48	52	46	44
LINC01828	7	3	36	26	24	20	2	6
AC006055.1	0	2	0	1	1	1	0	0
AC239859.3	1	0	0	3	1	3	1	3
AF064858.1	0	1	0	2	0	1	0	1
TSPEAR-AS1	18	5	0	4	0	1	0	0
PKMP2	4	0	1	0	1	0	0	1
RP11-460E7.8	0	0	0	1	0	0	0	0
AC010154.1	0	0	0	0	0	0	0	0
IGKV3D-7	0	0	0	0	1	0	0	0
TM4SF19-AS1	22	2	1	3	12	3	5	2
LINC01564	1	0	6	1	8	0	0	0
AL442644.1	0	2	16	8	7	2	2	4
AC108472.1	21	40	6	4	15	11	25	14
CPB2-AS1	20	10	19	15	24	9	5	3
RBMS3-AS3	0	1	4	4	10	20	1	0
AC115285.1	0	1	0	0	0	0	0	0
RHOA-IT1	3	2	0	5	6	5	0	1
APOA1-AS	132	62	94	126	361	355	208	156
AC019055.1	0	0	1	1	0	0	0	0
AL031729.1	135	66	78	121	98	99	110	103
MACROD2-AS1	3	2	3	3	2	0	0	3
AC233279.1	6	6	9	3	7	12	6	1
MTCO2P11	4	5	0	4	9	5	2	2
ASH1L-AS1	38	11	26	10	28	16	23	18
AC073109.1	0	3	0	0	1	5	2	1
AL354766.1	0	2	4	4	2	1	2	0
ZNRF2P3	0	0	0	0	0	0	1	1
RPS29P15	0	0	1	0	0	0	1	0
NEXN-AS1	70	59	22	13	9	8	20	10
TPT1P14	4	0	1	1	2	0	0	0
HSPE1P12	0	0	2	0	2	2	0	1
LINC01553	4	4	7	0	5	9	8	5
AL359955.2	0	1	0	0	0	0	0	0
LINC01779	1	0	1	0	0	1	0	0
AC007405.2	2	1	1	0	2	0	0	2
AC008280.1	3	3	2	0	0	1	1	0
RP11-157L3.4	1	1	0	0	0	0	0	0
AL138760.1	0	0	0	0	0	1	0	0
MTND1P21	0	3	1	0	0	0	0	0
LCE6A	1	0	11	4	1	1	0	1
TMEM212-IT1	0	0	1	0	1	0	0	0
ZNF815P	18	7	5	11	5	11	13	4
AC002543.1	14	11	4	8	6	11	3	8
AC234783.1	1	1	1	0	0	0	1	1
EGOT	10	5	3	2	10	3	7	7
AC061961.1	0	0	0	0	0	0	0	1
AC009965.2	0	2	1	6	0	0	0	2
TTC28-AS1	84	102	74	102	87	70	44	53
CICP20	2	1	1	5	0	0	0	0
COX7CP1	2	3	4	6	2	3	3	0
UBOX5-AS1	12	6	2	4	6	6	4	8
AC009237.6	0	0	0	0	0	0	0	0
PNMA6A	0	0	5	1	0	5	3	0
RPL7AP53	0	1	2	2	0	0	0	0
MCCD1P1	0	0	0	1	0	0	0	0
FXYD6P2	1	0	2	0	0	0	0	0
AP000431.2	0	0	2	0	0	3	1	1
COX5BP3	6	9	3	6	4	2	1	0
AC079112.1	1	0	0	0	0	0	0	0
CHEK2P4	0	0	0	0	0	0	0	0
AL355497.2	0	0	0	0	0	0	0	0
VN2R19P	1	2	5	0	3	0	0	0
Z83313.1	2	0	2	3	0	2	0	0
Z80107.2	0	1	1	0	1	1	1	0
AC018816.1	72	64	36	60	101	125	68	68
AC004448.2	15	6	5	4	6	4	7	6
AC023274.2	0	1	0	0	1	0	0	0
GPC5-AS1	19	5	37	18	40	28	40	32
AC245100.5	0	0	0	0	0	0	0	0
MORC2-AS1	53	29	55	38	31	25	43	28
RPL23AP20	0	0	1	0	0	0	0	0
BX293995.1	4	4	3	3	13	4	7	9
GRAMD4P2	0	0	0	1	1	0	0	0
AC007559.1	0	0	1	0	0	0	1	0
HGC6.3	5	5	1	0	0	0	1	3
UBE2V1P6	0	0	1	2	0	1	0	0
LINC01936	3	0	1	1	0	0	1	1
TAAR7P	0	0	2	0	1	1	0	0
AC007731.4	5	7	5	3	7	3	3	2
AL139156.3	0	0	0	3	1	1	0	0
AL389915.1	3	3	1	1	2	3	1	0
MTCO1P46	2	2	5	0	1	3	0	0
LINC01814	7	4	5	5	3	3	3	5
AL592309.2	2	0	2	2	1	0	0	1
HIGD1AP12	0	1	0	0	2	1	1	0
AL357146.1	129	59	30	45	31	31	36	55
AC011290.2	1	5	2	2	4	1	2	2
ASMTL-AS1	0	0	0	0	0	0	0	0
AC004898.1	3	7	1	2	5	6	1	1
AL359265.3	1	0	0	0	2	1	0	0
AC106017.1	0	1	0	0	0	0	0	0
PRRX2-AS1	0	0	4	1	2	3	0	1
AL139135.1	0	1	0	2	3	0	0	0
AC009237.7	0	0	0	0	0	0	0	0
PATE3	3	1	2	2	2	1	0	1
AL354766.2	0	0	0	2	1	0	0	0
AL953854.2	2	2	1	0	1	1	0	1
AL591721.1	18	11	11	7	14	4	14	9
OR5H14	1	1	27	23	23	3	6	3
AL513343.1	6	6	5	14	2	3	2	4
LINC00445	8	0	0	1	0	1	1	0
AC019117.1	6	5	11	2	12	5	0	0
CHIAP1	1	1	8	3	10	0	0	2
COX6CP18	1	0	0	0	0	0	0	0
Z74696.2	0	0	1	2	2	1	0	0
FABP5P2	4	1	3	0	4	5	0	0
AL031283.3	0	0	0	0	1	3	0	0
AC004920.1	0	0	0	0	0	2	0	0
AC073410.1	1	2	1	4	2	5	2	3
AC013470.3	7	1	1	2	4	3	4	2
LINC01920	1	0	3	4	1	0	1	1
MYCBP2-AS1	58	68	59	80	117	86	43	45
LINC01643	4	1	4	2	4	2	1	1
LINC01067	2	0	0	0	0	1	1	0
Z82246.1	116	69	61	91	49	31	384	358
RP11-423O2.2	2	4	2	0	2	1	3	7
GAPDHP14	5	6	5	5	1	0	0	3
RPL17P36	17	9	23	5	12	6	0	0
HSPB1P1	7	12	2	4	6	10	11	5
GSTM5P1	1	1	0	0	0	0	0	0
AL034399.2	0	0	4	2	0	2	2	1
AL020995.1	12	8	11	10	22	16	15	9
AC091862.1	3	0	11	7	6	2	3	2
AL592043.2	1	0	0	0	0	0	0	0
AL627311.1	1	0	3	0	0	0	0	0
AL359475.1	1	0	3	0	0	0	0	0
LINC01072	1	0	0	0	0	0	0	0
BX119904.3	0	3	1	0	1	0	1	0
LINC01447	2	1	4	0	1	2	2	1
Z85994.2	0	0	0	0	0	0	0	0
YAP1P2	0	1	0	0	0	1	0	0
ELFN1-AS1	0	3	0	2	0	0	2	1
OR13E1P	2	4	2	0	0	3	0	1
ACTG1P4	3	2	0	1	0	0	0	0
HMGN2P28	0	1	0	0	2	0	0	1
COX10-AS1	70	61	62	37	65	43	45	43
LDHAP3	2	2	8	3	4	2	16	8
LINC02243	0	1	0	0	0	0	0	0
LINC00545	1	2	4	1	12	2	2	2
AL807757.2	0	2	3	2	4	3	1	0
BNIP3P2	0	0	0	0	0	0	0	0
AC097059.2	0	0	3	5	1	0	0	0
AC013403.1	4	0	1	0	0	0	0	0
RAC1P7	0	2	0	1	0	0	1	0
AC006967.2	6	3	0	0	1	0	0	0
ZBTB22	0	0	0	0	0	0	0	0
PRELID3BP10	0	2	1	0	0	0	1	2
AC010729.1	0	3	0	2	0	0	0	0
AC010127.1	32	32	35	24	21	15	23	20
AC093422.3	0	0	0	0	0	0	0	0
AC013402.3	0	0	0	0	0	0	0	0
OR2AM1P	2	0	1	2	0	0	0	1
AL603882.1	0	3	0	0	0	2	0	1
AL450326.2	8	6	11	0	5	2	1	3
AL136097.2	6	3	2	6	12	9	3	0
AC064853.1	2	0	4	0	0	0	0	3
LINC01639	0	1	0	0	0	0	2	0
AC245517.4	0	1	3	3	2	0	0	0
AP000688.3	0	4	1	0	1	2	1	3
AC110995.1	3	2	6	3	1	0	0	1
HAUS6P2	2	0	0	1	0	1	0	0
CEACAMP11	2	0	2	2	0	4	0	0
HMGN2P23	0	0	0	0	1	0	0	0
USP17L4	1	2	0	0	0	0	0	1
CT47A3	0	0	0	0	0	0	0	0
AP002856.3	0	0	0	0	1	1	1	0
PTCSC2	5	2	0	2	3	1	0	3
MED13P1	0	0	0	0	0	0	0	0
AL022331.1	2	0	2	1	5	0	0	0
LINC01069	0	0	1	8	2	2	1	3
ADORA2BP1	123	76	40	61	85	92	123	125
AL445231.1	6	2	2	0	3	0	1	4
DUX4L26	0	2	1	0	1	2	0	1
RP11-89F3.2	1	0	1	0	0	1	1	3
AC013727.2	0	1	3	0	1	0	0	3
TMEM147-AS1	435	258	165	253	425	378	284	249
AC079988.1	3	0	1	0	0	0	2	1
AL353803.3	0	0	1	0	0	0	0	0
RPL23AP37	0	0	1	2	1	1	1	0
AL110503.1	0	0	0	0	0	0	0	1
MRPS36P1	1	0	1	1	0	2	0	2
AC104076.1	0	1	0	1	0	1	0	0
AL450311.2	0	0	0	0	0	0	0	0
AL355877.1	19	14	10	20	5	3	15	7
CHCHD4P3	5	3	1	3	2	0	4	0
RP11-187C18.4	1	0	0	0	1	0	0	0
RFC3P1	1	1	0	0	1	1	0	1
AL031659.1	0	0	1	2	0	0	2	2
AC005345.1	2	0	0	0	1	0	2	1
AC092687.2	0	1	0	0	0	1	0	0
AL161618.1	0	0	3	0	2	0	0	1
PRADC1P1	2	2	4	1	0	0	0	2
AL021408.1	2	0	17	10	3	8	2	7
GAPDHP57	5	3	2	0	1	0	0	0
AL133466.1	1	1	0	0	0	0	0	0
LINC00418	0	0	1	4	2	3	1	1
IGHD1-1	0	0	0	0	0	0	0	0
RPL12P26	1	0	0	0	0	1	1	0
MIR7515HG	5	1	35	25	35	21	5	12
AL049612.1	0	0	0	0	0	0	0	0
SSU72P6	0	0	0	0	0	0	0	1
LINC00353	0	0	0	0	1	0	0	0
PRAMEF35P	1	4	0	1	7	0	3	1
AL445669.2	0	0	0	0	0	1	1	0
AC009319.1	0	1	0	1	1	0	0	3
TCEA1P4	5	4	0	4	7	10	6	0
HNRNPDLP3	1	0	0	1	1	0	0	0
GJA6P	4	4	3	0	4	1	0	1
PRKX-AS1	23	36	37	42	71	65	43	31
RPL18AP15	0	0	1	0	0	0	0	0
Z82210.1	0	0	1	0	0	1	0	2
RPS15AP25	0	0	1	0	0	1	0	0
LINC01953	0	2	7	3	1	3	0	2
AC099811.1	6	5	4	8	19	6	15	15
RNMTL1P2	0	0	2	0	0	0	0	0
AC002429.2	5	3	18	11	9	10	4	5
AL359076.1	9	6	3	2	8	10	4	7
KDM4A-AS1	49	55	36	54	93	56	35	34
GRM7-AS1	0	1	2	3	4	0	0	0
LINC01376	19	6	18	9	16	21	8	8
AL023773.2	0	0	0	0	0	0	0	0
AL356441.1	1	1	1	2	1	1	1	4
C10orf71-AS1	3	2	0	0	0	0	0	1
AC104135.1	2	0	5	3	1	0	0	0
MTCO1P7	0	2	1	2	1	5	2	1
AC009262.1	0	0	2	0	0	0	0	0
AC006369.1	54	33	23	38	6	7	6	3
PPP1R11P1	0	0	0	0	0	0	0	0
C1DP2	3	1	4	0	1	2	0	1
VEZF1P1	7	1	4	0	5	2	1	0
AL356108.1	1	0	4	5	3	0	0	2
AC017048.2	0	0	0	1	5	0	1	0
MTCYBP24	1	1	0	5	1	3	0	0
RP11-12A20.7	1	2	3	2	0	0	1	1
LA16c-13E4.3	0	1	0	1	4	2	0	0
AC093106.1	0	3	1	2	0	0	2	0
GPC5-IT1	0	0	1	2	2	0	0	0
AC119744.1	0	1	0	5	2	0	0	0
MYO16-AS1	26	8	6	3	1	1	1	8
