	GSM5138279	GSM5138280	GSM5138281	GSM5138282	GSM5138283	GSM5138284	GSM5138285	GSM5138286	GSM5138287	GSM5138288
ID4	542.55	688.47	722.01	643.02	838.4	745.13	1025.04	634.42	849.3	723.08
LOC340017	0.04	0	0	0	0	0	0	0	0	0
SLC6A19	0	0	0.21	0	0	0	0	0	0	0.15
LOC340037	1.75	1.64	3.06	1.71	0.98	1.9	1.87	1.36	1.09	2.15
TMEM173	11.5	9.46	8.12	11.92	11.31	13.29	5	4.39	6.17	7.52
FAM170A	0.09	0	0.07	0	0	0	0	0.02	0	0.04
LOC340073	0	0.28	0.01	0	0	0	0	0.08	0	0.02
LOC340074	0	0	0	0	0	0.14	0	0	0	0
ARSI	0	0.09	0.17	0.03	0	0.07	0.16	0.14	0.03	0.11
LOC340094	0	0.06	0	0	0	0	0	0	0	0
LOC340113	0.15	0.03	0.1	0	0.24	0	0	0	0.06	0.13
ANKRD34B	0	0.19	0.29	0.57	0.56	0.21	0.32	0.25	0	0.19
SLC35D3	0	0.62	0.48	0.27	0.8	0.07	0.05	0.25	0.19	0.29
ZC3H12D	5.73	6.62	9.86	4.76	2.77	7.85	4.97	3.59	5.67	7.24
MYLK4	1.65	1.74	2.01	1.26	1.54	0.88	1.74	0.99	0.96	1.73
DPPA5	0	0	0.51	0	0	0.02	0	0.1	0.01	0
IFITM4P	0	0	0.05	0	0	0	0	0	0	0
C6orf127	0	0	0.01	0	0	0	0	0	0	0
TREML1	0.04	1.08	1.14	0.22	0.34	0.38	1.28	0.08	0.43	0.35
TREML3	0.04	0.23	0.53	0.3	0	0.04	0.99	0.1	0.11	0.35
ZNF680	11.5	19.56	11.03	17.67	11.91	8.65	17.41	10.14	14.67	12.79
UNCX	0	0.12	0	0	0	0	0	0	0	0
COL28A1	0.75	0.46	0.51	0.14	0.28	0.7	0.64	0.33	0.7	0.25
ABCB5	0.88	1.27	1.99	0.69	0.38	1.68	0.7	0.82	0.87	1.84
C7orf46	1	3.19	1.63	2.11	4.77	1.49	2.22	1.65	2.24	1.46
FAM183B	0.56	0.88	0.2	0.24	0.42	0.18	0.75	0.04	0.06	0.18
CTAGE6P	1.6	3.76	2.94	3.41	0.34	0.88	0.35	1.13	1.44	1.18
TSPAN33	1.05	1.4	5.9	3.92	2.79	3.62	6.02	0.95	1.69	4
AGBL3	1.2	0.83	0.46	0.47	1.16	0	0.96	0.47	0.57	0.54
LOC340357	0	0	0.05	0	0	0.04	0.27	0.04	0.06	0.11
KLHL38	0.39	0.03	0.05	0.05	0	0	0	0.12	0	0.09
NRBP2	44.42	44.05	32.12	22.8	22.73	34.16	20.4	18.92	20.52	18.18
ZNF517	2.73	2.19	5.53	2.85	5.65	7.24	7.27	2.66	3.81	6.13
KIAA1875	4.64	3.8	4.96	2.68	1.4	4.6	2.57	2.49	2	3.54
C8ORFK29	0	0.06	0.07	0.16	0	0.25	0	0.04	0	0.04
RSPO2	0.23	0	0.35	0	0	0.11	0.27	0	0	0.22
POTEA	0	0	0.04	0	0	0	0.05	0	0	0
ZDHHC21	39.19	70.46	47.52	83.18	46.54	40.77	39.2	37.18	45.34	34.59
ACER2	5.3	9.03	9.94	6.53	6.29	11.5	6.79	6.84	12.77	9.57
LOC340508	0	0	0.05	0	0	0	0	0	0	0.04
LOC340515	0.23	0.14	0.15	0.04	0.06	0.11	0.24	0.12	0.14	0.04
RGAG4	5.9	9.7	8.42	5.23	5.41	9.44	5.35	3.24	4.97	6.85
NHSL2	2.03	3.32	7.11	2.53	2.87	0.47	13.1	1.69	2.97	4.84
PABPC1L2A	0	0	0	0	0	0	0	0	0	0.09
KIAA2022	0	0.46	0.37	0.33	0	0.14	0.21	0	0	0.15
BEX5	3.05	1.64	2.46	2.9	3.71	2.69	2.94	5.03	3.49	2.15
TCEAL5	0.56	0.23	0.48	0.3	0.76	0.39	0.16	0.23	0.26	0.35
LOC340544	0.79	1	1.17	0.35	0.48	0.64	0.78	0.37	0.69	0.87
VSIG1	4.81	6.11	9.95	4.06	2.53	7.25	4.95	3.96	4.4	6.69
ZC3H12B	1.18	3.29	2.61	2.72	0.4	2.15	2.01	1.67	1.31	2.34
SATL1	0	0.05	0.11	0.08	0	0.02	0	0	0.1	0.02
DCAF12L2	15.13	13.07	20.67	19.02	19.32	12.99	11.76	8.02	7.57	16.79
CA5BP1	3.59	2.07	2.78	2.09	2.02	2.47	2.99	3.42	3.03	2.56
ZCCHC16	3.14	1.65	3.38	1.56	1.34	2.9	1.42	1.85	1.6	3.03
LHFPL1	0	0.02	0.04	0	0	0	0	0.16	0	0.04
LIPM	0.28	0.42	0.81	0.83	0.24	0.73	2.17	0.16	0.81	0.53
CYP26C1	0.34	0.26	0.05	0.05	0	0.25	0	0	0.03	0.02
VWA2	0.09	0.63	0.52	0.35	0.18	0.3	0.67	1.13	0.44	0.34
NANOS1	22.37	18.73	20.26	23.02	19.04	22.66	13.8	17.31	22.43	17.09
LRIT2	0.38	0	0.09	0	0	0.04	0	0	0.17	0
HMX3	0	0	0	0	0	0	0	0	0.06	0.01
AKR1CL1	0	0.03	0.1	0	0	0	0	0	0.07	0.04
EBLN1	0.04	0	0.02	0	0	0.32	0.05	0.04	0	0
OR52B6	0.47	0.11	0.34	0.2	0.36	0.11	0.16	0.04	0	0.15
OTOG	0	0	0.09	0	0	0	0	0	0.03	0.05
APOC1	49.06	37.8	45.71	25.43	91.94	79	124.46	81.13	104.35	118.55
DCDC1	0	0.23	0.17	0.16	0	0.29	0.11	0.12	0.14	0.28
LOC341056	0.15	0.06	0	0	0	0.07	0	0	0.03	0.02
MS4A10	0.96	0.65	1.16	0.27	0.32	1.18	0.27	0.72	0.53	0.76
OR2AT4	0	0	0.06	0	0	0	0	0	0	0
HEPHL1	9.08	0.03	5.37	0.14	2.27	3.19	8.5	2.64	2.24	6.21
OR10A2	0	0	0.06	0	0	0.21	0	0.08	0	0.04
OVCH2	0	0.02	0.04	0.11	0	0	0	0	0	0
C12orf70	0.02	0	0.04	0.01	0	0	0.05	0.16	0	0.03
OVCH1	0.11	0.17	0.71	0.3	1.04	0.11	0.27	1.11	0.3	0.37
SYT10	0.23	0.12	0.22	0.98	0.16	0	0	0	0	0.02
ACSM4	1.32	0.19	0.81	1.52	0.46	0.3	0.29	0.1	0.03	0.17
ANKRD33	0.11	0.03	0.14	0	0	0	0	0	0	0.04
OR6C2	0	0	0.05	0	0	0	0	0	0	0
OR6C4	0	0	0.02	0	0	0	0	0	0	0
H1FNT	0.15	0	0.01	0.19	0	0.21	0.16	0.04	0.03	0.01
OR8S1	0.11	0	0.07	0.08	0	0.11	0	0.04	0	0.06
IDE	47.76	50.67	49.19	47.76	30.45	37.51	66.07	58.71	58.24	62.13
FREM2	25.32	33.02	48.95	17.99	29.67	29.5	47.3	28.07	54.97	49.21
NEK5	2.05	2.01	2.2	1.45	1.3	1.88	0.43	0.93	1.24	1.39
IDH1	63.01	90.1	120.74	84.6	126.18	167.17	337.76	205.69	307.84	157.94
OR6S1	0	0	0.01	0	0	0	0	0	0	0.04
IDH2	8.99	8.45	15.8	15.51	19.36	17.48	13.5	11.6	14.75	16.46
SLC35F4	0	0.02	0.09	0.03	0	0.04	0.21	0.29	0.24	0.12
LRRC9	0.04	0.54	0.11	0.37	0.22	0.18	0.11	0.33	0.44	0.29
IDH3A	35.75	34.77	28.27	26.53	25.5	29.95	31.71	40.35	30.71	29.66
COX8C	0	0	0.06	0	0	0	0	0	0	0
APOC1P1	1.17	0.69	1.03	0.37	1.8	2.1	1.39	0.99	1.89	2.88
IDH3B	32.31	23.37	39.36	37.42	48.13	38.78	37.46	37.86	33.42	38.22
GLDN	227.95	506.68	265.69	377.28	108.52	259.94	431.52	323.03	320.08	347.44
GOLGA6A	0	0.09	0.1	0.08	0	0.14	0	0	0	0.11
IDH3G	41.88	29.64	33.89	34.65	44.52	41.77	29.22	26.19	33.03	36.69
TMC3	0	0	0.07	0.04	0.04	0	0.27	0	0.03	0.02
ZNF774	0.66	1.11	1.7	1.65	0.84	0.93	0.86	0.89	0.49	1.11
FMN1	17.71	19.82	25.23	11.86	9.7	17.11	14.89	12.69	11.37	16.35
IDI1	114.25	111.57	181.59	106.67	105.03	78.39	243.11	216.94	200.66	343.91
IDS	134.08	133.84	123.67	144.11	82.98	100.17	86.92	67.33	79.54	120.63
LOC342346	0.62	0.94	0.75	0.73	0.4	0.88	0.43	0.37	0.26	0.41
ZKSCAN2	19.19	18.71	17.51	19.32	17.26	21.19	16.02	13.42	14.2	20.91
ATXN1L	79.93	69.66	81.62	80.98	51.27	90.43	68.26	57.13	76.87	84.57
PKD1L3	5.73	6.99	4.34	2.67	1.48	2.02	1.36	2.21	1.64	2.88
IDUA	5.96	6.37	5.29	3.25	5.99	7.94	3.93	3.03	2.5	3.94
CD300E	6.09	9.92	16.66	3.29	3.75	5.34	12.54	6.62	8.59	17.53
SMTNL2	0	0	0.05	0	0	0	0	0	0	0
NACA2	0.02	0	0.04	0	0	0	0	0	0	0
KRT27	0	0	0.04	0	0	0	0	0	0	0
CFI	124.64	77.93	88.44	135.51	96.19	85.02	103.26	126.97	111.72	97.42
SLFN14	0.26	0.03	0.45	0.41	0	0	0.7	0	0.06	0.1
FLJ43826	0.24	0.03	0.1	0	0.36	0.05	0	0.06	0	0.1
STAC2	5.92	5.89	9.79	4.42	3.63	7.67	3.8	3.61	3.07	6.26
IFI16	223.57	199.05	124.6	140.97	74.55	105.76	139.72	155.63	94.34	110
ANKRD62	1.54	1.4	3.69	1.49	0.98	2.27	0.45	1.75	1.56	2.87
VSTM2B	0	0	0.04	0.11	0	0	0	0	0	0.03
ZNF850	38.03	42.95	59.95	41.96	32.07	35.61	40.99	31.49	36.72	39.87
NCCRP1	0.24	0.14	0.3	0	0.1	0.2	0.13	0.35	0.09	0.64
SYCN	0	0	0	0	0	0.11	0	0	0	0
IFI27	101.28	32.8	77.7	74.58	141.49	64.63	79.54	116.04	63.85	69.25
ZNF404	2.76	3.5	2.29	3.09	1.4	1.76	3.02	3.26	3.3	1.96
ZNF284	3.21	4.27	1.99	1.77	2.71	1.34	3.07	2.25	2.26	1.88
LOC342918	0.62	0.4	0.34	0.26	1.74	0.77	0.75	0.54	0.76	0.72
ZNF677	3.76	5.11	4.68	4.86	2.41	5.16	4.2	3.54	2.56	4.46
RFPL4A	0	0	0	0	0	0	0.16	0	0	0
ZSCAN5B	0	0.09	0.07	0	0	0.05	0.27	0	0.09	0.11
ZSCAN22	36.5	33.76	47.5	27	15.55	43.48	18.93	22.73	19.63	40.75
NANOS3	0	0.12	0.06	0.03	0.36	0	0	0	0	0.11
PALM3	0	0.12	0.32	0.24	0.04	0.25	0	0	0	0.09
AQP8	1.17	0.71	0.46	0.45	0.28	0.68	0.11	0.33	0.49	0.45
IFI35	14.79	12.67	19.02	26.79	29.32	14.64	15.27	13.81	8.42	14.55
RD3	0	0	0.12	0.14	0.04	0	0	0.06	0	0.06
AADACL4	0	0	0.02	0	0	0	0.11	0	0	0
PRAMEF5	0	0	0.02	0	0	0	0	0	0	0
HNRNPCL1	0	0	0.01	0	0	0	0	0	0	0.02
PRAMEF10	0	0.02	0.32	0.15	0	0.04	0	0.04	0	0.01
CCDC18	10.81	10.74	8.68	8.59	6.82	10.21	9.04	15.37	8.99	13.97
SP110	21.8	31.86	37.39	38.41	45.66	46.81	51.33	20.65	39.36	25.72
OR6F1	0	0	0.04	0.16	0	0	0	0	0	0.02
OR2W3	0.15	0.22	0.2	0.12	0	0.05	2.73	0.02	0.21	0.06
OR2T8	0	0	0.01	0	0	0	0	0	0	0
OR2T3	0	0.06	0	0	0	0	0	0	0	0
MYBPHL	0	0.12	0.05	0	0	0.07	0	0	0	0
IFIT2	5.23	3.73	11.08	1.4	3.91	1.72	93.31	5.58	6.44	4.65
IFIT1	5.98	4.71	9.14	2.3	6.23	2.13	41.71	5.01	3.83	3.62
FCRL6	0.39	0.65	1.2	0.27	0.4	0.05	1.12	0.33	1.49	0.44
KCNT2	21.41	37.3	45.34	43.7	29.65	23.86	30.37	28.85	20.16	29.12
BARHL2	0	0	0.02	0	0	0	0	0	0	0
NBPF7	2.11	2.42	4.61	2.22	1.46	3.71	1.31	3.59	3.4	2.98
TCTEX1D4	19.47	27.01	22.82	13.56	5.59	20.71	8.77	7.5	8.22	10.93
ARHGAP40	0	0	0.07	0.38	0	0	0	0	0.09	0.02
RSPO4	0	0	0.02	0.03	0.2	0	0	0	0.01	0.16
TGM6	0.23	0	0.06	0	0	0	0	0	0	0.02
IFIT3	11.39	6.39	15.37	7.57	5.47	4.91	81.73	6.57	6.57	6.6
XKR7	0	0	0.04	0	0	0.11	0	0	0	0
IFNA1	0	0.15	0.06	0	0	0.56	0	0.16	0.3	0.21
MSGN1	0	0	0.02	0	0	0	0	0	0.14	0.01
C2orf55	0.98	1.14	1.29	1.22	2.1	0.95	1.74	0.31	1.54	1.06
IFNA2	0	0	0.05	0	0	0	0	0	0	0
FIGLA	0	0.03	0.1	0	0	0	0	0	0	0
NOTO	0.17	0	0.01	0	0	0	0	0	0	0.05
IFNA4	0	0	0.05	0	0	0	0	0	0	0
NCKAP5	0.15	0.09	0.32	0	0.04	0	0	0.29	0.06	0.25
FOXI3	0	0.06	0	0	0	0.14	0	0	0	0.03
EVX2	0	0	0	0	0	0	0	0	0	0.02
IFNA5	0.24	0.03	0.17	0.27	0	0.21	0.27	0.16	0.04	0.1
IFNA6	0	0	0.05	0	0	0	0	0	0	0
CDKL4	0.21	0.59	0.35	1.46	0.62	0.45	0.7	0.58	0.34	0.67
IFNA7	0	0	0.02	0	0	0	0	0	0	0
PRORSD1P	3.1	2.42	1.33	1	1	1.29	1.63	1.5	1.41	1.91
AOX2P	0	0.12	0	0.11	0	0	0.11	0	0.09	0.05
IFNA8	0.15	0	0.06	0	0	0	0	0	0	0.02
SH3RF3	0.45	1.57	1.8	0.14	1.08	1.22	1.5	1.09	1.06	0.8
LOC344595	50.88	30.21	23.04	39.79	21.91	26.19	22.49	16.98	15.62	26.47
IFNA10	0	0	0.02	0	0	0	0	0	0	0
LRRIQ4	0.15	0.06	0.14	0	0	0	0	0	0.03	0.03
SAMD7	0	0	0	0	0	0	0	0	0.06	0
IFNA13	0	0	0.01	0	0	0	0	0	0	0.01
AADACL2	0.3	0.11	0.2	0	0	0.21	0	0.25	0.19	0.35
GPR149	0	0	0.06	0.03	0	0	0	0.08	0	0
ZNF860	0.51	1.82	1.42	0.88	0.96	0.54	1.23	0.95	0.54	1.15
IFNA14	0	0	0.02	0	0	0	0	0	0	0
TMPRSS7	0.02	0.08	0.11	0	0	0	0	0.02	0	0.09
CD200R1L	1.32	0.86	0.77	0	0.08	0.25	0.59	0	0.89	0.3
PAQR9	0.83	0.54	0.45	1.14	0.2	0.9	0	0.33	0.14	0.44
COL6A4P1	0	0.23	0.22	0.09	0.2	0.5	0	0	0	0.12
LOC344887	0	0.09	0.11	0.05	0	0.07	0	0.12	0.11	0.12
IFNA16	0.04	0	0.02	0	0.2	0	0	0.16	0	0
OSTN	0	0	0.07	0	0	0	0	0	0	0.01
ATP13A5	0	0	0.1	0	0	0	0	0	0	0
LOC344967	0.56	0.37	0.78	0.31	0.36	0.32	0.78	0.31	0.2	0.5
APOC3	1.97	0	0	0	1.08	1.09	0	0	0	0
PRSS48	0.32	1.03	0.78	0.65	0.18	1.93	0.45	1.03	0.39	0.73
ANKRD56	0.34	0.09	0.11	0.14	0.12	0.14	0	0	0.06	0.11
LRIT3	0.26	0.32	0.35	0.16	0.3	0.47	0.37	0.41	0.29	0.77
IFNA21	0	0.06	0.06	0	0	0.18	0	0	0	0.04
C4orf44	1.15	1.51	1.02	1.11	0.16	0.41	0.51	0.45	0.3	0.29
SLC10A6	0.19	0.34	0.07	0	0	0.14	0	0.04	0	0.13
HSD17B13	4.98	4.06	5.68	2.93	1.74	4.59	3.05	2.91	2.23	4.62
IFNA22P	0.19	0	0.12	0.24	0	0	0.08	0.21	0.11	0.04
IFNAR1	56.24	57.24	68.45	44.47	30.57	57.72	61.33	51.5	51.75	59.83
PFN3	0	0	0.02	0	0	0	0	0	0	0
ZNF879	3.14	2.53	2.94	2.93	2.95	1.79	3.26	2.21	3.8	2.36
IFNAR2	14.74	22.26	24.77	14.19	6.15	15.08	17.78	16.03	14.12	23.96
PLCXD3	83.65	94.06	37.95	94.91	40.87	31.83	16.1	44.47	28.82	21.29
IFNB1	0	0.06	0.12	0.27	0	0	0.19	0.08	0.03	0.12
IRGM	1.02	0.94	0.84	0.15	0	1.11	1.12	0.19	0.69	0.43
FBLL1	5.6	2.67	7.11	5.74	7.76	2.11	2.09	3.01	1.54	4.89
IDAS	0	0	0	0	0	0	0	0	0	0.01
ACTBL2	0	0	0.04	0.24	0	0	0	0	0	0
FAM174A	6.99	8.01	7.88	5.87	10.98	6.13	7.11	7.42	8.63	7.1
MTX3	33.12	36.66	36.52	36.12	18.8	29.14	41.25	39.18	41.66	42.89
IFNG	0	0.08	0.04	0	0	0	0.03	0	0.11	0.03
RSPH4A	1.84	1.77	1.27	2.02	1.2	1.65	0.86	1.4	0.66	1.6
IFNGR1	49.1	42.83	58.79	45.5	54.98	35.84	67.35	67.74	63.7	60.11
ECT2L	2.84	5.37	4.87	5.95	1.84	3.39	3.32	8.76	4.36	10.34
IFNGR2	58.63	48.14	93.92	74.83	105.29	79.87	94.22	67.26	104.75	109.86
EYS	3.1	3.29	2.65	4.99	2.59	3.37	2.62	2.82	3.19	5.56
ZNF391	0.83	0.46	0.94	1.07	1.32	0.95	1.07	1.15	0.53	0.31
ZFP57	0	2.98	0.09	2.37	0	0	0	2.14	2.04	2.44
SEPT14	7.73	6.14	11.02	10.81	7.58	7.6	3.32	2.78	5.87	6.15
MACC1	9.57	12.13	12.65	7.37	5.65	12.59	7.54	6.72	5.79	10.78
OR6V1	0	0.22	0.12	0	0	0	0	0.04	0	0
OR2A12	0.11	0.08	0.12	0.14	0	0.04	0.05	0	0	0.03
OR2A1	1.32	0.34	1.55	0.6	0.72	0.39	0.32	0.49	0.61	0.49
GNAT3	0	0.05	0.04	0	0	0	0.03	0.04	0	0
MOGAT3	0	0	0	0.11	0	0	0	0	0	0
FAM71F2	2.24	3.81	2.31	2.48	0.68	3.22	1.04	1.05	0.66	0.93
STRA8	0	0	0.04	0	0.06	0	0	0	0	0
KLRG2	0	0	0.01	0	0	0.11	0	0.04	0.17	0.07
IFNW1	0	0	0.11	0	0	0.25	0	0	0	0.04
APOD	0	1.3	1.59	0.18	0.36	0.18	1.18	0.62	0.5	0.29
SLC10A5	0.08	0.11	0.39	0.08	0.12	0.45	0	0.23	0	0.38
GPR144	0.19	0.31	0.02	0.03	0.08	0.52	0.05	0	0.13	0.05
FAM75D5	0	0	0.11	0	0	0	0.16	0	0	0.02
QRFP	0.3	0.22	0.21	0	0.06	0.14	0.19	0.08	0.03	0.16
OR1J1	0	0	0.02	0	0	0	0	0	0	0
OR1B1	0	0.03	0.11	0	0	0	0.32	0	0	0
KIF24	14.98	15.03	20.35	12.22	7.62	14.56	9.09	6.88	7.33	10.77
IGFBPL1	0.28	0.14	1.25	0.76	1.92	1.13	0.53	1.5	1.34	1.46
MURC	0.56	0.59	0.55	1.06	0.2	0.88	0.16	0.99	0.24	0.49
ZNF81	28.87	22.86	24.76	26.88	14.71	15.71	19.01	23.25	20.9	18.15
ITIH5L	0	0.03	0.15	0.41	0	0	0.11	0	0	0.11
LANCL3	1.43	0.94	2	2.57	2.69	0.68	0.75	0.49	1.34	0.51
LOC347411	0	0.12	0.17	0.11	0.24	0.18	0	0.12	0.14	0.05
DCAF8L2	53.84	46.9	21.69	7.68	18.38	12.34	23.15	27.66	11.47	17.7
ANKRD58	0	0.09	0.11	0.11	0.2	0.11	0.35	0	0	0.11
CCDC160	0	0.15	0.02	0	0.04	0	0	0	0	0.11
CXorf66	0	0	0.09	0	0	0	0	0	0	0
IFRD1	69.68	70.31	94.14	67.87	71.92	60.1	79.86	49.85	57.9	78.09
DGAT2L6	0	0	0	0.09	0.16	0	0	0	0	0.04
RAB41	0.09	0.06	0.16	0	0.58	0.14	0.21	0.04	0.14	0.17
MAGEB5	0	0	0.02	0	0	0	0	0	0	0
IGBP1	48.55	39.97	51.86	60.15	52.66	38.1	38.63	42.84	43.56	51.71
TUBB8	0.02	0.05	8.1	0.27	0.1	0.14	0.75	0.49	0	0.05
SOX2OT	0	0	0.09	0.16	0.2	0.2	0	0.19	0	0.31
ECEL1P2	0.06	0.52	0.02	0.11	0	0	0	0.12	0.06	0.06
LRRTM1	0	0	0.1	0	0	0	0	0.12	0	0.21
LRRTM3	1.69	3.69	3.88	5.53	2.12	5.05	1.93	1.2	2.17	2.53
CATSPER3	0.49	0.45	0.34	0.66	0.24	0.07	0.51	0.54	0.49	0.27
TUBB2B	0.56	1.48	0.88	1.07	4.31	5.8	2.86	4.02	1.54	1.79
SLC35B2	31.5	29.04	44.47	39.06	45.8	34.54	33.71	27.82	38.94	48.47
SERINC2	0.39	0.79	0.41	1.3	0.36	0.77	1.26	0.49	0.49	0.64
TXNDC6	2.03	2.65	2	3.05	1.82	2.15	3.74	4.06	3.76	1.76
C6orf52	0	0.19	0.45	0.33	0.24	0.14	0	0.19	0.11	0.28
PAR-SN	13.82	18.82	17.71	17.25	14.37	14.89	12.54	11.85	9.42	10.31
TBX10	0	0	0.02	0	0	0	0	0.02	0	0
PDDC1	47.24	46.11	54.34	37.6	41.73	67.69	54.17	45.69	55.34	63.74
IGF1	4.83	3.7	3.27	2.9	3.23	2.54	2.27	1.2	1.83	2.49
AMIGO2	22.54	19.84	21.43	21.71	18.08	10.46	15.37	20.83	16.17	20.22
EP400NL	4.36	4.49	3.24	2.64	1.16	3.1	1.76	2.25	2.29	1.58
APOE	231.32	132.39	246.68	111.12	416.8	326.9	314.29	367.17	253.93	388.09
IGF1R	543.18	695.01	637.46	589.64	294.43	708.93	385.27	499.97	429.49	577.58
FAM70B	0.04	0.19	0.26	0.24	0.04	0.2	0.27	0	0	0.17
LOC348021	0	0	0	0	0	0	0.11	0	0	0.09
RBPMS2	2.18	1.31	0.61	0.57	0.46	0.38	0.27	0.91	0.76	0.66
ANKDD1A	3.03	2.53	2.21	2.11	1.04	1.56	1.2	1.57	2.74	1.65
IGF2	1.69	3.46	3.4	1.08	0.96	5.36	3.4	2.12	4.26	4.38
C15orf38	3.67	1.94	3.83	3.22	3.55	2.76	2.25	2	1.89	2.2
LOC348120	0	0	0	0.03	0	0	0	0	0	0.05
ACSM2B	0.11	0	0.02	0	0.06	0.04	0	0	0	0
CLEC18A	0.64	0.62	0.41	0.77	0	0.79	0.29	0.08	0.11	0.64
CTU2	7.41	4.63	6.71	3.39	5.67	6.81	5.72	6.82	3.01	6.81
IGF2R	290.25	280.14	324.47	238.24	165.93	264.13	324.58	285.98	279.52	296.55
SKA2	9.42	10.57	9.08	11.14	13.99	5.79	8.34	10.51	8.04	7.81
CCDC144C	1.73	3.32	2.81	3.27	1.7	1.61	1.02	1.92	1.4	1.68
FAM195B	60.4	29.41	67.27	49.18	79.86	56.66	50.61	46.12	44.05	58.54
IGFALS	0.56	0.12	0.45	0.24	0.48	0.29	0.59	0.04	0.06	0.32
SELV	0	0	0.04	0	0	0	0	0	0	0
ZNF530	2.24	1.59	2.25	2.97	1.32	1.07	1.18	1.55	1.93	1.85
FAM159A	0	0.22	0	0	0	0	0.16	0.21	0	0.05
IGFBP1	8.87	6.45	7.6	20.27	7.42	4.08	2.51	8.63	6.13	3.63
FAM131C	0.96	0.31	0.07	0.2	0.24	0.07	0	0.04	0.11	0.19
IGFBP2	248.18	145.41	294.34	463.37	394.87	296.79	179.59	143.66	176.4	193.59
IGFBP3	18.72	18.78	23.14	47.06	18.38	13.6	7.83	14.1	7.07	14.66
C22orf34	0	0.09	0.29	0	0	0.25	0.27	0.08	0.24	0.1
GEN1	41.05	44.9	49.09	47.03	24.03	40.27	34.84	29.76	35.99	44.66
IGFBP4	36.99	36.16	53.61	45.15	81.62	61.69	54.44	35.43	53.61	42.59
C2orf48	0	0.09	0.02	0	0	0	0.11	0	0	0
FONG	0.11	0.51	0.65	0.3	0.7	0.56	1.1	0.89	0.24	0.96
LOC348761	0	0.15	0.05	0	0	0	0	0	0	0.05
WDR53	1.43	2.31	1.55	1.23	1.04	1.09	2.65	2.58	1.97	1.38
IGFBP5	96.64	168.66	157.04	121.5	95.49	48.28	83.9	64.11	41.24	129.1
LNP1	0.32	0.89	0.6	0.98	2.27	0.88	1.6	0.58	0.94	1.7
CCDC37	0.39	0.29	0.26	0.3	0.26	0.75	0.16	0.19	0.23	0.33
NCRNA00119	0.02	0.23	0.06	0.03	0	0.13	0.05	0.08	0.24	0.06
TPRXL	0	0.06	0.17	0	0.32	0.04	0.05	0.12	0	0.06
LOC348840	0.06	0	0.34	0	0	0.05	0	0.04	0	0.06
IGFBP6	0.34	0.03	0.5	0.73	0.44	0.38	0	0.33	0.26	0.3
FAM86EP	3.23	3.44	5.04	3.77	2.75	3.78	2.59	3.13	2.54	4.93
NIPAL4	0	0.22	0.17	0	0.44	0.04	0.64	0.54	0.46	0.33
HCN1	0	0.43	0.14	0	0	0	0	0.04	0.01	0
NUP43	22.99	25.16	27.25	22.38	25.9	25.74	26.23	29.06	21.26	30.38
IGFBP7	309.61	222.25	406.54	402.24	414.42	226.92	187.45	226.48	225.57	278.75
ZNF713	7.99	6.12	8.56	7.6	4.83	5.5	5.05	5.21	4.5	7.22
CYR61	196.45	262.88	192.52	207.32	85.55	168.98	112.48	168.66	125.26	90.13
NCRNA00265	5.11	5.58	4.45	2.98	1.72	3.39	2.78	3.01	2.74	3.32
WDR86	0.21	0.22	0.16	0.54	0	0	0	0	0	0.09
GJC3	0	0.12	0.12	0	0.16	0.09	0.16	0.19	0.03	0.16
DPY19L2P2	26.8	30.04	42.01	23.81	10.86	32.51	24.36	19.95	17.92	25.73
LOC349160	0	0.02	0	0	0	0	0	0	0	0.01
LOC349196	6.02	7.88	7.64	6.21	5.13	7.11	5.67	5.96	3.34	4.69
FOXD4L4	0	0.12	0.07	0	0	0	0	0	0	0.04
TLR8-AS1	0.04	0.29	0.3	0.28	0.08	0.09	0.05	0.08	0.16	0.34
NMNAT3	2.48	1.91	2.34	3.69	4.63	2.1	2.67	1.77	1.71	1.84
C11orf34	1.69	1.94	1.44	2.15	0.32	1.65	1.1	1.13	0.33	1.16
RTN4RL2	0.17	0.26	0.05	0	0.12	0.25	0.11	0.04	0.09	0.05
ACADS	11.32	5.03	17.56	12.82	20.75	14.56	13.74	11.17	9.29	17.41
APOH	3.2	0.03	0.01	0	2.45	1.99	0	0.12	0.31	0.06
GPR142	0.04	0	0.02	0	0	0	0	0	0	0.02
IGHMBP2	13.46	9.86	11.18	8.63	6.35	13.58	8.72	7.19	7.04	8.73
APP	377.81	477.19	410.81	415	291.87	492.94	372.22	462.48	405.97	354.53
IGJ	2.82	5.46	3.37	1.35	1.72	0.68	9.06	0.7	2.03	3.79
RBPJ	48.03	50.06	62.88	75.81	44.02	37.28	59.35	42.04	55.5	63.28
GYG2P1	0	0	0.01	0	0.02	0	0	0	0	0
C19orf51	1.02	0.88	0.81	0.22	1.2	1.33	1.02	0.49	1.06	1.04
GATS	16.56	21.28	18.76	21.81	16.04	14.83	15.48	7.69	11.12	9.24
HCG26	0.36	0.12	0.17	0.14	0.08	0.18	0.53	0.14	0.29	0.19
C6orf58	0	0	0.06	0	0.08	0.04	0.32	0.16	0.01	0.11
APRT	54.74	28.96	57.05	47.35	63.1	76.51	83.52	54.1	61.01	75.73
ZNF429	10.68	6.83	7.76	5.12	3.95	3.85	6.52	3.94	5	5.75
