ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032635	interleukin-6 production	13/267	178/18614	1.83299931794142e-06	4.40151861536059e-05	3.0749448917898e-05	IL6/TNFAIP3/TLR2/ORM1/NLRP12/WNT5A/PLCG2/IL1B/CLEC7A/SCIMP/PTAFR/HAVCR2/IL10	13
BP	GO:0032675	regulation of interleukin-6 production	13/267	178/18614	1.83299931794142e-06	4.40151861536059e-05	3.0749448917898e-05	IL6/TNFAIP3/TLR2/ORM1/NLRP12/WNT5A/PLCG2/IL1B/CLEC7A/SCIMP/PTAFR/HAVCR2/IL10	13
BP	GO:0002763	positive regulation of myeloid leukocyte differentiation	8/267	59/18614	1.90076200347187e-06	4.53552895671213e-05	3.16856585550624e-05	TRIB1/ID2/NEDD9/LEF1/FOS/PF4/CCR1/EVI2B	8
BP	GO:0018212	peptidyl-tyrosine modification	19/267	372/18614	1.94386921374854e-06	4.60939987310122e-05	3.22017281593343e-05	IL6/SOCS3/TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/PLCG2/HCK/KIT/HES1/LCK/OSM/SOCS1/PTPRC/ITGB2/FGR/IL11	19
BP	GO:0050670	regulation of lymphocyte proliferation	15/267	239/18614	1.99756995914592e-06	4.70731703416125e-05	3.28857872319674e-05	IL6/RASSF5/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	15
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	16/267	271/18614	2.02107186786039e-06	4.73330041151996e-05	3.3067309702875e-05	IL6/TLR2/CARD16/IL18/TRIM22/WNT5A/NTS/TRIM58/PLCG2/IL1B/KIT/CLEC7A/NLRP3/S100A8/LPAR5/IL10	16
BP	GO:0019730	antimicrobial humoral response	11/267	126/18614	2.03954869452556e-06	4.74726855646011e-05	3.31648925593501e-05	CXCL2/CXCL1/CXCL3/PI3/CXCL6/LYZ/RARRES2/JCHAIN/PF4/CXCL5/IGHA1	11
BP	GO:0002292	T cell differentiation involved in immune response	9/267	80/18614	2.14241449842986e-06	4.95629305307494e-05	3.46251585818126e-05	IL6/JUNB/IL18/LEF1/NFKBIZ/CLEC4E/NLRP3/CLEC4D/GATA3	9
BP	GO:0002886	regulation of myeloid leukocyte mediated immunity	8/267	60/18614	2.16621187820071e-06	4.98097446417787e-05	3.47975853863437e-05	CXCL6/ADGRE2/CCR2/PTAFR/ITGB2/VAMP8/RAC2/FGR	8
BP	GO:0030183	B cell differentiation	12/267	153/18614	2.17988081526342e-06	4.98220952596953e-05	3.48062136514477e-05	IL6/ID2/CD27/ADGRG3/NFKBIZ/PLCG2/KIT/PTPRC/LYL1/IL2RG/IL11/IL10	12
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	13/267	181/18614	2.20942419076144e-06	5.0194942393706e-05	3.50666883853596e-05	IL6/TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/PLCG2/KIT/HES1/OSM/PTPRC/IL11	13
BP	GO:0032677	regulation of interleukin-8 production	10/267	103/18614	2.27772088728887e-06	5.14385300379403e-05	3.59354711415625e-05	IL6/SERPINE1/TLR2/CD14/WNT5A/IL1B/FFAR2/CLEC7A/PTPRC/IL10	10
BP	GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	6/267	28/18614	2.37983033092368e-06	5.34264868374226e-05	3.73242776285632e-05	TRIB1/TNFAIP3/CD14/CARD16/LY96/SCIMP	6
BP	GO:0042554	superoxide anion generation	7/267	43/18614	2.39397345455201e-06	5.34278546268843e-05	3.73252331799502e-05	NCF1/CYBB/CLEC7A/ITGB2/NCF4/NCF1C/FPR2	7
BP	GO:0045619	regulation of lymphocyte differentiation	14/267	212/18614	2.42976627326087e-06	5.39095511155073e-05	3.76617511607933e-05	JUNB/ID2/CD27/IL18/LEF1/NFKBIZ/SOCS1/CCR2/NLRP3/PTPRC/IL2RG/SASH3/GATA3/IL10	14
BP	GO:0032944	regulation of mononuclear cell proliferation	15/267	243/18614	2.45325746541165e-06	5.41142954870453e-05	3.78047876248869e-05	IL6/RASSF5/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/TNFSF8/RAC2/SASH3/IL10	15
BP	GO:0032637	interleukin-8 production	10/267	104/18614	2.48858182254738e-06	5.4576181703727e-05	3.81274659517756e-05	IL6/SERPINE1/TLR2/CD14/WNT5A/IL1B/FFAR2/CLEC7A/PTPRC/IL10	10
BP	GO:0042113	B cell activation	16/267	276/18614	2.56157990129106e-06	5.57478826320998e-05	3.89460279298691e-05	IL6/TNFAIP3/ID2/CD27/ADGRG3/LEF1/NFKBIZ/PLCG2/KIT/PTPRC/LYL1/CXCR5/IL2RG/SASH3/IL11/IL10	16
BP	GO:0002821	positive regulation of adaptive immune response	11/267	129/18614	2.57139680037361e-06	5.57478826320998e-05	3.89460279298691e-05	IL6/IL18/NFKBIZ/CD1D/IL1B/CCR2/CLEC7A/NLRP3/PTPRC/SASH3/GATA3	11
BP	GO:0045621	positive regulation of lymphocyte differentiation	11/267	130/18614	2.77386511552036e-06	5.97957059561606e-05	4.1773877756461e-05	CD27/IL18/LEF1/NFKBIZ/SOCS1/NLRP3/PTPRC/IL2RG/SASH3/GATA3/IL10	11
BP	GO:0043030	regulation of macrophage activation	8/267	62/18614	2.79257904754293e-06	5.98590107704966e-05	4.18181031324003e-05	IL6/CTSC/WNT5A/HAMP/PTPRC/HAVCR2/LRRK2/IL10	8
BP	GO:0032757	positive regulation of interleukin-8 production	8/267	63/18614	3.15944429287152e-06	6.73423126244638e-05	4.70460125928474e-05	IL6/SERPINE1/TLR2/CD14/WNT5A/IL1B/FFAR2/CLEC7A	8
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	12/267	159/18614	3.26087223313583e-06	6.91159176118288e-05	4.82850707617526e-05	TLR2/CARD16/IL18/TRIM22/WNT5A/NTS/TRIM58/PLCG2/IL1B/CLEC7A/NLRP3/S100A8	12
BP	GO:0051960	regulation of nervous system development	21/267	461/18614	3.41696662667056e-06	7.2022063231045e-05	5.03153331342484e-05	BTG2/IL6/EGR2/ID2/CTSC/CHODL/TLR2/BHLHE40/CXCR4/HEY1/SLC7A5/LEF1/CDH1/WNT5A/TGM2/IL1B/KIT/HES1/SORL1/NOG/BHLHE41	21
BP	GO:0043032	positive regulation of macrophage activation	6/267	30/18614	3.66160136972581e-06	7.67520198714902e-05	5.36197281126467e-05	CTSC/WNT5A/HAMP/HAVCR2/LRRK2/IL10	6
BP	GO:1901222	regulation of NIK/NF-kappaB signaling	10/267	110/18614	4.14696853166222e-06	8.64483440061893e-05	6.03936770545139e-05	NFKBIA/CD27/TLR2/CD14/IL18/ADGRG3/NLRP12/IL1B/NLRP3/HAVCR2	10
BP	GO:0060263	regulation of respiratory burst	5/267	18/18614	4.30129876024052e-06	8.91755600893582e-05	6.22989374649735e-05	NCF1/JCHAIN/CLEC7A/RAC2/IGHA1	5
BP	GO:0001774	microglial cell activation	7/267	47/18614	4.44924798585289e-06	9.17415590126407e-05	6.40915699563935e-05	IL6/CTSC/TLR2/PTPRC/C5AR1/ITGB2/LRRK2	7
BP	GO:0034612	response to tumor necrosis factor	15/267	257/18614	4.87245684576413e-06	9.99248717450222e-05	6.98085140121427e-05	TNFAIP3/NFKBIA/CD14/CCL20/CARD16/FOS/ZFP36/PTGS2/HAMP/CCL2/HES1/CASP1/CCL24/GATA3/LRRK2	15
BP	GO:0009620	response to fungus	8/267	67/18614	5.064031038728e-06	0.000103295342800721	7.21631587748563e-05	RARRES2/HAMP/PLCG2/CLEC4E/CLEC7A/SCIMP/CLEC4D/S100A8	8
BP	GO:0006953	acute-phase response	7/267	48/18614	5.14559167402534e-06	0.000103842419208788	7.25453518208052e-05	SERPINA1/IL6/ORM1/EDNRB/PTGS2/HAMP/IL1B	7
BP	GO:0043300	regulation of leukocyte degranulation	7/267	48/18614	5.14559167402534e-06	0.000103842419208788	7.25453518208052e-05	ADGRE2/CCR2/PTAFR/ITGB2/VAMP8/RAC2/FGR	7
BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	16/267	293/18614	5.50736991243569e-06	0.000110555351575561	7.72350734587195e-05	TNFAIP3/NFKBIA/TLR2/CARD16/TRIM22/NLRP12/WNT5A/EDNRB/TRIM58/PLCG2/IL1B/CLEC7A/S100A4/NLRP6/CLEC4D/CASP1	16
BP	GO:0001906	cell killing	13/267	197/18614	5.62565713482518e-06	0.00011233549036593	7.84786962076997e-05	CTSC/TREM1/IL18/CXCL6/LYZ/GZMB/HAMP/CD1D/CLEC7A/PTPRC/KLRB1/NLRP6/HAVCR2	13
BP	GO:2000401	regulation of lymphocyte migration	8/267	68/18614	5.66871865194092e-06	0.000112602715002428	7.86653820092986e-05	CCL20/NEDD9/WNT5A/CCL2/DOCK8/RIPOR2/CCR2/APOD	8
BP	GO:0046634	regulation of alpha-beta T cell activation	10/267	114/18614	5.72349910362537e-06	0.000113098727078931	7.90119010028985e-05	JUNB/IL18/NFKBIZ/SOCS1/CCR2/NLRP3/PTPRC/IL2RG/SASH3/GATA3	10
BP	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	5/267	19/18614	5.76925351291552e-06	0.000113412164911925	7.92308718054065e-05	IL6/IL18/IL1B/NLRP3/GATA3	5
BP	GO:0045861	negative regulation of proteolysis	17/267	330/18614	6.08402007067814e-06	0.000118983361588417	8.31229654800193e-05	SERPINA1/PI3/MMP9/SERPINE1/CD27/CLN3/CARD16/IL1R2/PTGS2/NR4A1/SORL1/CSTA/VIL1/SERPINB2/PLAU/LRRK2/IL10	17
BP	GO:0035710	CD4-positive, alpha-beta T cell activation	10/267	115/18614	6.1904319252116e-06	0.000120443583201296	8.41430908916751e-05	IL6/JUNB/IL18/LEF1/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3/GATA3	10
BP	GO:0007599	hemostasis	14/267	230/18614	6.26268717307703e-06	0.000120748014864744	8.43557698941334e-05	SERPINA1/IL6/SERPINE1/THBD/WAS/TUBB1/PLCG2/PF4/LCK/FLI1/PIK3CG/SERPINB2/PLAU/PLEK	14
BP	GO:0002711	positive regulation of T cell mediated immunity	8/267	69/18614	6.33338296206748e-06	0.000120748014864744	8.43557698941334e-05	IL6/IL18/CD1D/IL1B/NLRP3/PTPRC/SASH3/GATA3	8
BP	GO:0014015	positive regulation of gliogenesis	8/267	69/18614	6.33338296206748e-06	0.000120748014864744	8.43557698941334e-05	IL6/EGR2/ID2/TLR2/CXCR4/SLC7A5/IL1B/HES1	8
BP	GO:0045576	mast cell activation	8/267	69/18614	6.33338296206748e-06	0.000120748014864744	8.43557698941334e-05	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR/CRLF2	8
BP	GO:0010038	response to metal ion	18/267	367/18614	6.37965898658324e-06	0.000121022130975484	8.45472701485084e-05	TNFRSF11B/NQO1/JUNB/MMP9/CD14/HSD17B1/CDH1/FOS/NCF1/ALOX5AP/WNT5A/PTGS2/HAMP/PLCG2/KIT/CYBB/S100A8/LRRK2	18
BP	GO:0038094	Fc-gamma receptor signaling pathway	6/267	33/18614	6.58787994627425e-06	0.000124350330926192	8.6872383894834e-05	HCK/CLEC4E/LCK/PTPRC/CLEC4D/FGR	6
BP	GO:0071248	cellular response to metal ion	13/267	200/18614	6.63214925999645e-06	0.000124566209368448	8.70231987320013e-05	NQO1/JUNB/MMP9/HSD17B1/CDH1/FOS/NCF1/ALOX5AP/WNT5A/PTGS2/PLCG2/CYBB/LRRK2	13
BP	GO:0045582	positive regulation of T cell differentiation	10/267	116/18614	6.68997227828945e-06	0.000125033274994237	8.73494954458535e-05	CD27/IL18/LEF1/NFKBIZ/SOCS1/NLRP3/PTPRC/IL2RG/SASH3/GATA3	10
BP	GO:0002269	leukocyte activation involved in inflammatory response	7/267	50/18614	6.81191197093622e-06	0.000126070214720644	8.80739119015014e-05	IL6/CTSC/TLR2/PTPRC/C5AR1/ITGB2/LRRK2	7
BP	GO:1904894	positive regulation of receptor signaling pathway via STAT	7/267	50/18614	6.81191197093622e-06	0.000126070214720644	8.80739119015014e-05	IL6/KIT/HES1/SOCS1/IL10RA/IL10/CRLF2	7
BP	GO:0032722	positive regulation of chemokine production	8/267	70/18614	7.06275924701796e-06	0.000130078197005758	9.08739283801289e-05	IL6/TLR2/IL18/WNT5A/IL1B/FFAR2/CLEC7A/HAVCR2	8
BP	GO:0052548	regulation of endopeptidase activity	17/267	336/18614	7.71307486180509e-06	0.00014136911123521	9.87618738979162e-05	SERPINA1/MMP9/SERPINE1/CD27/CARD16/NLRP12/PTGS2/NR4A1/SORL1/LCK/CLEC7A/NLRP3/VIL1/NLRP6/CASP1/SERPINB2/S100A8	17
BP	GO:0002548	monocyte chemotaxis	8/267	71/18614	7.86185840879057e-06	0.000142121297734934	9.92873589036881e-05	IL6/SERPINE1/CCL20/CCL2/CCR1/CCR2/CCL24/FPR2	8
BP	GO:0072678	T cell migration	8/267	71/18614	7.86185840879057e-06	0.000142121297734934	9.92873589036881e-05	CCL20/WNT5A/CCL2/DOCK8/PIK3CG/RIPOR2/CCR2/APOD	8
BP	GO:0032743	positive regulation of interleukin-2 production	6/267	34/18614	7.90395198262283e-06	0.000142121297734934	9.92873589036881e-05	PLCG2/IL1B/CCR2/CLEC7A/PTPRC/SASH3	6
BP	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	6/267	34/18614	7.90395198262283e-06	0.000142121297734934	9.92873589036881e-05	IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3	6
BP	GO:0050671	positive regulation of lymphocyte proliferation	11/267	145/18614	7.99160425735404e-06	0.00014301955920944	9.99148933466607e-05	IL6/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/SASH3	11
BP	GO:0046635	positive regulation of alpha-beta T cell activation	8/267	72/18614	8.7359768128407e-06	0.000154879887980923	0.000108200637554023	IL18/NFKBIZ/SOCS1/CCR2/NLRP3/PTPRC/IL2RG/SASH3	8
BP	GO:0071677	positive regulation of mononuclear cell migration	8/267	72/18614	8.7359768128407e-06	0.000154879887980923	0.000108200637554023	SERPINE1/CCL20/NEDD9/WNT5A/DOCK8/CCR1/CCR2/FPR2	8
BP	GO:0072593	reactive oxygen species metabolic process	14/267	237/18614	8.82361861385257e-06	0.000155706088469566	0.000108777829472121	NQO1/UCP2/NCF1/BCO2/PLCG2/IER3/CYBB/CLEC7A/ITGB2/NCF4/RAC2/NCF1C/LRRK2/FPR2	14
BP	GO:0002446	neutrophil mediated immunity	6/267	35/18614	9.42525817680931e-06	0.000164034080379883	0.000114595847847445	IL6/TREM1/CXCL6/NLRP6/PTAFR/ITGB2	6
BP	GO:0032633	interleukin-4 production	6/267	35/18614	9.42525817680931e-06	0.000164034080379883	0.000114595847847445	SLC7A5/LEF1/NLRP3/HAVCR2/SASH3/GATA3	6
BP	GO:0032673	regulation of interleukin-4 production	6/267	35/18614	9.42525817680931e-06	0.000164034080379883	0.000114595847847445	SLC7A5/LEF1/NLRP3/HAVCR2/SASH3/GATA3	6
BP	GO:0044703	multi-organism reproductive process	13/267	207/18614	9.62199196286124e-06	0.000166693321950208	0.00011645362058392	JUNB/MMP9/UCP2/ARHGDIB/THBD/FOS/PTHLH/PTGS2/IL1B/MMP2/PTAFR/HAVCR2/EPYC	13
BP	GO:0046637	regulation of alpha-beta T cell differentiation	8/267	73/18614	9.69070619084321e-06	0.000166822805237539	0.000116544078902456	JUNB/IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3/GATA3	8
BP	GO:0032946	positive regulation of mononuclear cell proliferation	11/267	148/18614	9.71740642000423e-06	0.000166822805237539	0.000116544078902456	IL6/IL18/CD1D/IL1B/HES1/CCR2/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/SASH3	11
BP	GO:0006801	superoxide metabolic process	8/267	74/18614	1.07319435972716e-05	0.00018258741707645	0.00012755739427864	NQO1/NCF1/CYBB/CLEC7A/ITGB2/NCF4/NCF1C/FPR2	8
BP	GO:0032732	positive regulation of interleukin-1 production	8/267	74/18614	1.07319435972716e-05	0.00018258741707645	0.00012755739427864	IL6/ORM1/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1/HAVCR2	8
BP	GO:0002761	regulation of myeloid leukocyte differentiation	10/267	123/18614	1.1269274970743e-05	0.00019087334481696	0.000133346026204563	TRIB1/TNFRSF11B/ID2/NEDD9/LEF1/FOS/PF4/TNFAIP6/CCR1/EVI2B	10
BP	GO:0043303	mast cell degranulation	7/267	54/18614	1.15019895887639e-05	0.000193949104443423	0.000135494782617578	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR	7
BP	GO:0045580	regulation of T cell differentiation	12/267	180/18614	1.16530641469374e-05	0.00019562710342248	0.00013666704947363	JUNB/CD27/IL18/LEF1/NFKBIZ/SOCS1/CCR2/NLRP3/PTPRC/IL2RG/SASH3/GATA3	12
BP	GO:0052547	regulation of peptidase activity	19/267	425/18614	1.31491816816657e-05	0.000219770904406342	0.000153534150124898	SERPINA1/PI3/MMP9/SERPINE1/CD27/CARD16/NLRP12/PTGS2/NR4A1/SORL1/LCK/CLEC7A/CSTA/NLRP3/VIL1/NLRP6/CASP1/SERPINB2/S100A8	19
BP	GO:0070372	regulation of ERK1 and ERK2 cascade	16/267	315/18614	1.36438943321814e-05	0.000227039189018844	0.000158611846391657	DUSP6/CCL20/NLRP12/ACKR3/CCL2/IL1B/CHRNA9/CCR1/PTPRC/C5AR1/SCIMP/NLRP6/CCL24/HAVCR2/MARCO/FPR2	16
BP	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	8/267	77/18614	1.44384646208326e-05	0.000239211942233357	0.00016711585343717	JUNB/IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3/GATA3	8
BP	GO:0002279	mast cell activation involved in immune response	7/267	56/18614	1.46988283605057e-05	0.000240376529309304	0.000167929445606866	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR	7
BP	GO:0002752	cell surface pattern recognition receptor signaling pathway	7/267	56/18614	1.46988283605057e-05	0.000240376529309304	0.000167929445606866	TNFAIP3/NFKBIA/CD14/LY96/FFAR2/PIK3AP1/SCIMP	7
BP	GO:0050832	defense response to fungus	7/267	56/18614	1.46988283605057e-05	0.000240376529309304	0.000167929445606866	RARRES2/HAMP/PLCG2/CLEC4E/CLEC7A/CLEC4D/S100A8	7
BP	GO:0044706	multi-multicellular organism process	13/267	216/18614	1.51723817829976e-05	0.000247055864741172	0.000172595696090301	JUNB/MMP9/UCP2/ARHGDIB/THBD/FOS/PTHLH/PTGS2/IL1B/MMP2/PTAFR/HAVCR2/EPYC	13
BP	GO:0061760	antifungal innate immune response	5/267	23/18614	1.5928699604157e-05	0.000258262761957998	0.000180424946483434	RARRES2/PLCG2/CLEC4E/CLEC7A/CLEC4D	5
BP	GO:0002448	mast cell mediated immunity	7/267	57/18614	1.65533970622542e-05	0.000267249312571031	0.000186703040549859	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR	7
BP	GO:0007565	female pregnancy	12/267	187/18614	1.7101796061537e-05	0.000274933111260472	0.000192071019103257	JUNB/MMP9/UCP2/ARHGDIB/THBD/FOS/PTHLH/PTGS2/IL1B/MMP2/HAVCR2/EPYC	12
BP	GO:0010721	negative regulation of cell development	15/267	286/18614	1.74735677233063e-05	0.000279724539840608	0.00019541835899305	BTG2/TRIB1/IL6/TNFRSF11B/ID2/CDH1/PTHLH/WNT5A/EDNRB/IL1B/HES1/SORL1/TNFAIP6/SOCS1/NOG	15
BP	GO:0002732	positive regulation of dendritic cell cytokine production	4/267	12/18614	1.87148143493034e-05	0.000298336158156543	0.00020842062154598	PLCG2/KIT/CLEC7A/SCIMP	4
BP	GO:0050878	regulation of body fluid levels	17/267	361/18614	1.95405192877277e-05	0.000310195523755811	0.000216705692871607	SERPINA1/IL6/SERPINE1/THBD/WAS/EDNRB/TUBB1/PLCG2/PF4/LCK/FLI1/PIK3CG/NLRP6/SERPINB2/VAMP8/PLAU/PLEK	17
BP	GO:0042092	type 2 immune response	6/267	40/18614	2.09890295189941e-05	0.000331801574979431	0.000231799896179066	IL6/IL18/CCR2/NLRP3/GATA3/IL10	6
BP	GO:0007596	blood coagulation	13/267	224/18614	2.22912160927067e-05	0.000350924787783108	0.000245159563753813	SERPINA1/IL6/SERPINE1/THBD/WAS/TUBB1/PLCG2/PF4/LCK/PIK3CG/SERPINB2/PLAU/PLEK	13
BP	GO:0048246	macrophage chemotaxis	6/267	41/18614	2.4293733718779e-05	0.000380869527805982	0.000266079258390107	RARRES2/EDNRB/CCL2/MMP2/C5AR1/C3AR1	6
BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	12/267	194/18614	2.46542763832363e-05	0.000384931376946496	0.000268916906792242	TRIB1/TNFAIP3/NFKBIA/ID2/BHLHE40/ADGRG3/NLRP12/HES1/NLRP3/HAVCR2/LRRK2/IL10	12
BP	GO:0014013	regulation of gliogenesis	9/267	108/18614	2.54914266841874e-05	0.000396370790327078	0.000276908595301052	IL6/EGR2/ID2/TLR2/CXCR4/SLC7A5/IL1B/HES1/NOG	9
BP	GO:1905517	macrophage migration	7/267	61/18614	2.6014329774805e-05	0.00040285047822698	0.000281435370023454	RARRES2/EDNRB/CCL2/CCR2/MMP2/C5AR1/C3AR1	7
BP	GO:0002683	negative regulation of immune system process	20/267	487/18614	2.64290060106426e-05	0.000407608328473082	0.000284759251753522	TRIB1/TNFAIP3/TNFRSF11B/ID2/RASSF5/CCL2/HCK/TNFAIP6/SOCS1/CD96/RIPOR2/TNFAIP8L2/CCR2/RNF125/PTPRC/APOD/NLRP6/HAVCR2/FGR/IL10	20
BP	GO:0002430	complement receptor mediated signaling pathway	4/267	13/18614	2.6727953483856e-05	0.000408894578700603	0.000285657839016763	FPR1/C5AR1/C3AR1/FPR2	4
BP	GO:0070486	leukocyte aggregation	4/267	13/18614	2.6727953483856e-05	0.000408894578700603	0.000285657839016763	NR4A3/IL1B/RAC2/S100A8	4
BP	GO:0045055	regulated exocytosis	13/267	228/18614	2.68404418579016e-05	0.000408966411280637	0.000285708021975042	NR4A3/ADGRE2/HCK/KIT/PIK3CG/CCR2/PTAFR/ITGB2/VAMP8/RAC2/PLEK/FGR/LRRK2	13
BP	GO:0050673	epithelial cell proliferation	20/267	488/18614	2.72079615027485e-05	0.000412908023765712	0.000288461671848088	IL6/TNFAIP3/ID2/TGFA/OSR2/ZFP36/NR4A3/NFKBIZ/WNT5A/EDNRB/CCL2/NR4A1/KIT/HES1/NOG/C5AR1/CCL24/GATA3/IL10/CDH13	20
BP	GO:0001818	negative regulation of cytokine production	17/267	371/18614	2.7653158584174e-05	0.000417992365212574	0.000292013643593836	IL6/TNFAIP3/CARD16/ORM1/LEF1/IL1R2/NLRP12/ZFP36/CD96/NLRP3/RNF125/PTPRC/APOD/NLRP6/HAVCR2/GATA3/IL10	17
BP	GO:0050817	coagulation	13/267	229/18614	2.80973275721262e-05	0.000423020876224788	0.00029552661163999	SERPINA1/IL6/SERPINE1/THBD/WAS/TUBB1/PLCG2/PF4/LCK/PIK3CG/SERPINB2/PLAU/PLEK	13
BP	GO:0002407	dendritic cell chemotaxis	5/267	26/18614	3.00617239352836e-05	0.000450807037986031	0.000314938301930701	CXCR4/PIK3CG/CCR1/CCR2/CXCR1	5
BP	GO:0071241	cellular response to inorganic substance	13/267	231/18614	3.07663956934177e-05	0.000459557894727664	0.000321051737903132	NQO1/JUNB/MMP9/HSD17B1/CDH1/FOS/NCF1/ALOX5AP/WNT5A/PTGS2/PLCG2/CYBB/LRRK2	13
BP	GO:0034142	toll-like receptor 4 signaling pathway	6/267	43/18614	3.21575987502209e-05	0.000477156603415438	0.000333346371667196	TNFAIP3/NFKBIA/CD14/LY96/PIK3AP1/SCIMP	6
BP	GO:0032731	positive regulation of interleukin-1 beta production	7/267	63/18614	3.21961229505409e-05	0.000477156603415438	0.000333346371667196	IL6/ORM1/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1	7
BP	GO:0001909	leukocyte mediated cytotoxicity	10/267	139/18614	3.27458259964884e-05	0.000483415034360611	0.000337718574069866	CTSC/TREM1/IL18/CXCL6/GZMB/CD1D/PTPRC/KLRB1/NLRP6/HAVCR2	10
BP	GO:0032611	interleukin-1 beta production	9/267	112/18614	3.40709444161286e-05	0.000499093293879505	0.000348671562852314	IL6/TNFAIP3/CARD16/ORM1/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1	9
BP	GO:0032651	regulation of interleukin-1 beta production	9/267	112/18614	3.40709444161286e-05	0.000499093293879505	0.000348671562852314	IL6/TNFAIP3/CARD16/ORM1/NLRP12/WNT5A/CLEC7A/NLRP3/CASP1	9
BP	GO:1904019	epithelial cell apoptotic process	10/267	140/18614	3.48259632112392e-05	0.000508178162944876	0.0003550183431721	IL6/TNFAIP3/SERPINE1/LEF1/ZFP36/NFKBIZ/CCL2/PIK3CG/GATA3/IL10	10
BP	GO:0050851	antigen receptor-mediated signaling pathway	12/267	201/18614	3.49590143723281e-05	0.000508178162944876	0.0003550183431721	NFKBIA/NFKBIZ/PLCG2/LCK/CD3D/HLA-DPB1/TMIGD2/PTPRC/BTNL8/IGHA1/GATA3/TRGC2	12
BP	GO:2000116	regulation of cysteine-type endopeptidase activity	13/267	234/18614	3.51853026044942e-05	0.000509515412524622	0.000355952559092473	MMP9/CD27/CARD16/NLRP12/PTGS2/NR4A1/LCK/CLEC7A/NLRP3/VIL1/NLRP6/CASP1/S100A8	13
BP	GO:1903034	regulation of response to wounding	11/267	170/18614	3.55747698681844e-05	0.000513196490037611	0.000358524196630331	SIGLEC10/TNFAIP3/SERPINE1/CXCR4/HBEGF/THBD/CLEC7A/VIL1/SERPINB2/PLAU/IL10	11
BP	GO:0048247	lymphocyte chemotaxis	7/267	64/18614	3.57120531697394e-05	0.000513225491386331	0.000358544457262376	CCL20/NEDD9/WNT5A/CCL2/PIK3CG/CCR2/CCL24	7
BP	GO:0070371	ERK1 and ERK2 cascade	16/267	341/18614	3.58929765662108e-05	0.000513879068272467	0.000359001052606628	DUSP6/CCL20/NLRP12/ACKR3/CCL2/IL1B/CHRNA9/CCR1/PTPRC/C5AR1/SCIMP/NLRP6/CCL24/HAVCR2/MARCO/FPR2	16
BP	GO:0032753	positive regulation of interleukin-4 production	5/267	27/18614	3.64638162658656e-05	0.000518904543367033	0.000362511899730374	SLC7A5/NLRP3/HAVCR2/SASH3/GATA3	5
BP	GO:0071356	cellular response to tumor necrosis factor	13/267	235/18614	3.67765817005053e-05	0.000518904543367033	0.000362511899730374	TNFAIP3/NFKBIA/CCL20/CARD16/FOS/ZFP36/HAMP/CCL2/HES1/CASP1/CCL24/GATA3/LRRK2	13
BP	GO:0033003	regulation of mast cell activation	6/267	44/18614	3.67910706815318e-05	0.000518904543367033	0.000362511899730374	NR4A3/ADGRE2/VAMP8/RAC2/FGR/CRLF2	6
BP	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	6/267	44/18614	3.67910706815318e-05	0.000518904543367033	0.000362511899730374	IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3	6
BP	GO:2001233	regulation of apoptotic signaling pathway	17/267	381/18614	3.86326570415909e-05	0.000542860373391837	0.000379247681991134	TNFAIP3/ITPRIP/MMP9/CTSC/SERPINE1/NR4A2/ACKR3/PTGS2/IL1B/IER3/PF4/LCK/NOG/PTPRC/TMC8/S100A8/LRRK2	17
