geneNames	GSE138518_GSM4110156	GSE138518_GSM4110157	GSE138518_GSM4110158	GSE138518_GSM4110159	GSE138518_GSM4110160	GSE138518_GSM4110161	GSE155489_GSM4705199	GSE155489_GSM4705200	GSE155489_GSM4705201	GSE155489_GSM4705202	GSE155489_GSM4705203	GSE155489_GSM4705204	GSE155489_GSM4705205	GSE155489_GSM4705206	GSE193123_GSM5773736	GSE193123_GSM5773737	GSE193123_GSM5773738	GSE193123_GSM5773739	GSE193123_GSM5773740	GSE193123_GSM5773741
KRT18P10	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf38	5	15	24	18	79	12	8	4	1	4	5	3	4	7	95	75	36	98	21	252
TUBBP2	0	0	2	0	2	0	0	2	0	0	1	1	0	0	181	157	159	194	238	140
HNRNPA1P10	187	383	597	692	532	622	94	107	67	142	134	131	70	74	121	130	111	137	154	126
C17orf67	83	41	88	67	82	27	19	9	6	13	8	3	7	5	54	73	55	63	71	100
AC004980.2	2	29	8	39	11	8	8	5	3	13	2	5	5	5	0	0	0	0	0	0
AC010336.1	30	0	0	5	0	4	23	13	19	26	24	12	6	8	3	1	1	6	3	5
CTAGE11P	0	0	1	18	6	0	0	2	4	0	1	0	0	1	0	0	0	2	0	0
FIS1	1814	2883	3785	5591	6471	1407	922	545	426	672	1549	1306	943	782	1889	2069	1906	2178	1830	1521
RPS2P6	1	0	1	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0
RPSAP53	2	1	2	0	1	0	1	1	23	3	3	2	1	1	0	0	0	0	0	0
KCTD9P4	0	0	0	7	2	1	1	2	2	3	5	8	0	2	0	3	2	3	3	1
AC124312.1	26	13	45	12	6	10	1759	1048	891	1042	1659	1650	1798	1577	0	0	0	1	0	0
RPS3AP33	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
LGMNP1	1	0	0	0	1	0	1	3	2	3	1	0	1	0	0	0	0	0	0	0
AGGF1P1	0	2	7	0	1	4	0	0	0	1	0	1	1	0	0	1	2	0	4	0
ANG	35	223	149	69	166	58	159	98	96	115	33	23	222	186	25	36	14	50	20	14
SCART1	33	197	119	64	39	55	9	14	13	12	7	9	9	11	72	62	63	23	30	220
AC046134.1	0	0	0	1	0	0	1	0	0	2	4	4	0	0	0	0	0	0	0	0
RPL39P5	0	0	0	2	1	0	47	40	25	36	39	50	10	6	0	0	3	0	1	0
COLCA2	6	23	61	12	7	23	13	4	3	6	11	10	9	5	0	5	0	0	0	0
APTR	51	92	140	88	76	29	118	60	58	70	63	60	54	57	126	90	83	129	79	124
SPDYE3	17	72	59	66	53	23	75	65	39	47	67	71	53	40	51	68	84	85	78	83
MBLAC1	108	92	164	70	131	56	8	5	4	4	6	11	9	2	26	36	37	49	44	37
CBX1P4	0	0	0	2	7	0	2	0	4	8	3	0	0	0	0	0	0	0	0	0
C3orf56	0	93	0	0	45	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
AC009053.1	8	150	21	137	54	54	28	38	16	21	28	13	13	13	75	104	90	97	80	158
FOXI3	0	0	0	0	2	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0
SOGA3	0	0	52	6	0	0	49	26	36	61	38	29	31	14	3	1	11	1	3	1
ATP5PBP2	0	4	0	0	0	0	0	0	5	2	5	2	0	1	0	0	0	0	0	0
VAC14-AS1	11	2	2	4	3	1	7	12	5	4	2	4	0	5	5	11	5	9	8	20
NEURL1B	360	679	1616	1983	836	1050	65	59	49	39	161	145	25	15	21	71	19	32	29	29
RPL18P10	0	2	0	0	10	2	1	9	2	6	3	6	0	2	2	1	4	0	0	0
RPS3AP36	0	0	0	1	0	0	0	0	1	3	0	2	1	1	0	0	0	0	1	0
HAUS3	51	254	202	125	199	156	195	134	130	202	131	143	98	63	262	288	340	346	296	371
VSTM5	0	0	14	0	0	8	5	4	10	6	4	1	1	8	0	3	4	3	3	0
RPS3AP26	425	334	914	816	804	551	309	197	106	194	162	176	106	113	205	203	117	262	178	171
TUBAP2	7	30	34	27	39	13	18	17	14	19	24	21	15	25	0	0	0	0	0	0
KANSL1-AS1	32	21	62	15	50	11	5	3	4	1	0	3	2	0	1	0	0	0	0	3
LCNL1	0	12	3	2	0	0	9	4	4	0	0	2	1	4	10	15	3	1	0	3
BBIP1	224	352	543	465	672	208	812	484	391	477	748	690	572	548	411	392	444	423	427	446
TRIM77	0	6	0	0	0	0	0	4	7	3	8	8	1	2	0	0	0	0	0	0
GNAT3	2	0	0	0	0	0	0	2	11	4	5	1	3	1	1	3	1	3	0	0
LRRC37A4P	43	100	58	90	49	58	34	20	15	21	33	16	14	11	0	2	0	0	0	10
GOLGA2P8	0	0	2	1	5	0	4	3	7	1	4	1	0	2	9	0	0	0	0	0
AS3MT	554	701	283	474	958	104	105	98	43	53	78	48	47	60	14	3	10	8	8	61
FAM185BP	5	13	15	16	13	3	12	13	16	8	19	13	4	4	15	29	19	8	11	39
FAM187A	0	0	26	0	51	20	13	10	5	15	3	8	0	3	0	0	0	0	0	0
RCN1P2	41	520	491	488	198	182	184	144	94	95	139	126	108	103	0	0	0	0	0	0
PLIN5	177	128	204	363	161	87	9	13	13	11	29	31	5	9	133	21	38	121	21	182
TPT1P6	1	1	1	1	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0
SMARCE1P6	14	11	6	19	18	3	3	2	1	1	4	4	0	1	2	2	3	6	1	2
RPL7P1	205	195	643	625	460	409	1196	844	403	616	737	683	812	694	1529	1695	1531	2442	1749	1386
OR7E148P	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SEC14L6	0	5	37	16	0	0	1	4	2	1	2	4	2	4	3	1	0	6	0	2
SPINK13	0	13	0	0	0	0	1	3	6	4	2	4	3	1	1	0	0	3	0	3
PPME1	472	1987	1396	1217	1197	1106	552	486	341	409	573	455	980	1006	876	1347	1520	1355	1627	532
AC130709.1	0	0	5	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0
STARD10	380	184	351	158	233	157	31	17	4	9	1	7	6	16	288	245	156	329	188	620
ZNF705E	0	2	0	0	0	0	5	7	5	3	2	4	2	2	2	2	2	3	3	0
RPS15AP1	3	1	6	4	7	4	18	23	2	9	62	4	20	13	1	1	9	0	1	0
RPS4XP3	0	1	1	3	1	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0
GTF2IRD2P1	20	50	80	107	103	64	5	5	2	4	3	0	5	4	4	0	4	5	9	3
AC087491.1	0	2	5	0	9	0	5	1	1	0	0	0	0	0	2	1	0	0	1	0
MEG3	5398	2928	3175	2599	2099	1495	802	808	379	558	367	277	326	339	3792	3951	980	1229	2421	301
COPS8P2	0	0	0	1	0	0	36	25	27	22	25	20	64	40	13	4	6	7	10	2
AL365217.1	2	5	7	3	1	1	10	15	6	11	4	14	3	10	6	7	4	8	2	8
AC019077.1	0	0	2	0	0	2	49	40	39	53	47	51	30	18	0	1	0	1	3	3
RPL21P41	1	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	0
NUTM2D	110	56	189	68	94	66	4	0	4	3	3	7	3	5	13	35	39	17	25	45
CPEB1	2	16	0	5	0	5	9	18	12	13	8	13	8	16	0	0	4	0	0	0
HMGN2P15	0	1	4	1	4	0	0	1	1	1	0	0	0	0	0	0	0	1	0	2
AL354710.1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
EML6	16	113	40	42	30	47	27	17	40	37	49	30	13	7	33	37	51	24	37	37
RPS19P1	0	0	1	2	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0
SLC6A10P	0	6	5	0	0	0	1	2	4	1	2	1	1	2	1	0	0	0	1	0
POLR3DP1	0	5	8	0	0	5	4	1	0	0	1	1	1	1	0	2	0	0	0	0
RPSAP6	0	0	0	0	1	0	2	1	3	0	6	1	1	1	0	0	0	0	0	0
AC073592.1	0	7	0	0	2	0	5	2	3	0	2	2	0	0	1	4	2	1	3	2
ZNF727	60	187	92	82	106	70	20	42	19	28	30	39	18	11	117	119	218	74	148	76
HNRNPA3P3	1	3	2	6	3	4	7	5	6	4	4	4	6	13	11	3	9	2	3	4
B3GNT10	3	10	12	7	7	8	46	91	42	54	159	119	56	60	24	55	48	28	27	32
ZSWIM8	1131	4928	3665	3267	2829	2149	235	169	154	167	160	124	73	107	2196	1962	1904	1660	1823	2865
KRT8P26	0	6	0	3	13	0	20	12	5	4	3	0	4	3	4	2	0	0	1	3
RPL9P16	0	0	0	0	5	0	3	2	0	0	1	2	0	0	0	0	0	0	0	0
C10orf105	0	0	0	0	16	0	2	2	0	0	0	2	1	1	8	0	0	4	0	6
ARHGEF33	16	23	19	21	24	8	18	15	22	15	37	27	18	13	7	10	13	14	8	4
C12orf71	8	2	3	0	0	0	4	0	3	0	0	0	0	0	3	3	1	0	2	2
IFRD2	695	1425	1831	2509	1216	853	250	184	151	249	430	299	159	146	670	716	841	1107	1443	690
AC116407.1	17	62	83	54	42	9	0	0	0	0	0	0	0	0	5	19	11	11	15	6
CAPN14	0	0	0	2	0	0	16	5	5	2	0	3	3	5	7	3	7	6	1	10
ZBED1	1811	4620	668	960	2162	1244	1	0	1	1	0	0	0	1	1051	1331	1144	1301	1401	1324
RPL5P35	5	0	1	0	0	0	3	2	0	0	1	1	0	1	0	0	0	0	0	0
TOMM6	1532	1822	2585	3282	2860	1003	2061	1292	1011	1393	2046	1910	1667	1395	0	0	0	0	0	0
AL391419.1	13	1	4	6	2	2	5	12	3	4	1	4	4	2	0	0	0	0	0	0
AL355309.1	2	1	1	2	4	0	4	1	2	4	2	2	1	1	0	0	0	0	0	0
HNRNPUL2	1826	4866	4865	3338	3512	2169	204	214	154	202	213	203	139	140	906	880	811	687	692	1047
AC004870.1	1	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
CSKMT	0	75	69	85	7	37	43	26	27	28	44	41	30	17	45	48	44	59	99	45
HNRNPA1P15	0	0	0	2	0	2	0	4	1	0	0	3	0	0	0	2	0	0	0	0
AL161756.1	0	6	0	7	0	0	2	4	8	7	3	2	3	2	0	2	2	2	4	3
AC112512.1	21	3	2	7	0	0	1	0	3	4	7	3	9	4	0	0	0	0	0	1
AC092821.1	17	115	83	49	10	23	25	19	12	9	26	23	22	17	8	0	0	5	12	17
POLR2J4	130	215	144	256	176	104	137	119	73	81	108	99	76	66	55	68	59	104	55	165
AC010468.1	33	53	171	122	201	110	13	11	12	15	21	10	12	14	6	5	0	1	3	1
MS4A4E	0	5	0	6	26	0	1	1	5	1	5	2	1	9	2	1	1	0	2	6
AP000790.1	0	0	6	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
AC098934.1	18	21	5	3	14	3	15	5	1	15	1	2	2	1	0	3	3	4	3	4
AC090921.1	15	10	8	4	0	6	2	1	8	6	1	0	1	0	5	0	0	6	0	2
FER1L6	0	0	2	7	0	3	20	8	23	15	14	5	4	8	77	56	28	17	11	4
MPRIPP1	42	37	22	8	17	12	7	2	1	5	0	2	1	1	1	3	0	0	2	1
HMGB1P4	1	0	1	0	1	0	2	0	2	1	0	0	0	1	0	0	0	0	0	0
DDX12P	0	15	34	19	10	13	8	3	3	4	3	2	5	6	75	67	76	109	80	218
MTCP1	65	194	131	137	154	66	440	321	310	433	230	203	562	487	62	103	127	88	72	32
UPF3AP2	115	33	61	25	16	14	2	0	7	2	6	7	4	4	6	3	1	6	5	2
LINC01347	0	46	15	12	7	10	5	3	8	6	11	10	2	3	0	0	0	1	0	2
RAD51AP2	0	4	0	0	0	0	2	1	0	0	0	1	2	3	1	0	1	1	0	0
AC114744.1	0	2	4	0	0	4	4	2	0	1	4	4	4	0	13	3	5	3	2	7
LINC00612	0	14	0	0	0	6	0	0	2	0	4	2	1	1	6	1	2	3	4	6
APOC1P1	6	14	27	38	11	2	12	7	1	13	30	31	16	7	10	60	14	10	7	1
KRT16P1	0	2	0	0	0	0	7	0	2	2	1	1	0	1	0	0	0	0	0	0
EVPLL	0	0	0	3	8	0	3	2	0	0	1	0	1	7	0	0	0	0	0	0
DCDC2C	0	0	0	0	2	0	0	1	2	1	0	2	2	3	0	0	0	3	0	0
SRSF9P1	4	0	6	8	8	0	0	3	0	0	0	0	1	0	2	1	6	7	4	37
AC004540.1	22	12	23	26	18	5	21	10	7	6	14	5	1	7	12	12	1	10	9	15
SMTNL1	0	33	0	10	12	2	6	6	3	6	2	1	1	0	232	14	67	56	7	336
MED28P1	0	2	0	8	1	0	0	1	0	1	0	1	0	0	2	0	0	0	1	0
TMEM14DP	0	5	2	3	2	1	8	4	6	1	2	6	1	3	1	0	0	2	1	2
RPS9P1	0	0	0	3	0	0	4	1	2	3	0	2	1	0	0	0	0	0	0	0
LINC00243	4	0	8	10	15	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RPSAP55	1	0	0	1	0	0	0	0	3	0	2	4	2	0	0	0	0	0	0	0
LINC01588	547	1595	351	359	179	28	271	134	83	96	47	44	1525	1449	295	312	544	644	563	245
RPL23AP3	0	0	1	1	1	3	0	0	0	2	0	1	0	0	0	0	4	0	0	0
AC011825.1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1
HLA-F-AS1	0	13	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0
NPIPA8	505	780	511	500	241	135	25	14	27	19	12	7	4	13	3	1	5	15	12	1
ZSWIM7	374	350	574	588	367	254	429	336	244	320	531	424	422	392	386	399	380	409	413	372
ARHGEF28	589	2301	2317	2171	1669	1039	361	363	230	251	556	518	159	131	954	1885	1540	401	475	47
TBC1D26	0	1	4	6	11	0	24	9	15	14	1	3	4	9	1	1	1	0	0	0
LRRC69	28	0	28	4	14	0	24	13	16	18	25	13	6	6	18	29	24	26	37	31
AP000317.1	9	2	11	8	0	3	4	9	10	11	8	3	8	12	5	1	4	2	2	11
NPIPA7	334	419	317	284	161	69	26	10	10	14	12	6	10	5	5	3	5	9	4	12
CHCHD3P3	0	0	0	1	0	0	13	3	15	11	22	13	17	6	3	3	3	0	1	1
PPIAP29	80	89	187	181	182	83	124	86	71	111	120	114	73	64	38	26	14	45	30	17
RPL7AP26	0	2	0	2	4	0	3	4	1	1	5	5	0	0	4	6	4	0	1	0
AKAP17BP	32	25	7	36	0	0	5	6	14	5	12	9	4	2	4	8	10	14	4	0
CCNB2P1	0	0	0	3	0	0	1	2	6	4	4	1	0	1	0	0	0	0	0	0
AC129492.2	0	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
RPL15P20	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHCHD2P2	1	1	2	1	1	0	15	5	2	1	5	7	4	5	0	0	0	0	0	0
DNAJA1P3	0	1	2	1	2	0	6	2	7	3	2	3	2	3	0	2	0	0	0	0
RTL10	140	388	468	263	280	242	61	49	37	45	36	33	23	13	321	389	363	282	426	415
AL645728.1	31	72	93	77	32	26	10	13	4	15	13	8	5	11	30	26	12	32	41	28
COL28A1	0	29	8	3	3	3	6	4	23	17	17	15	3	3	11	17	3	1	2	1
PHB2	2280	4743	4252	4519	4189	2065	1568	1091	675	932	1676	1613	1240	1137	2228	2730	2391	3281	3151	2170
AL008729.1	24	19	23	24	15	3	14	16	4	9	13	8	8	10	71	40	44	57	56	129
AC131097.1	13	10	0	6	7	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0
RPL13P12	680	248	626	365	510	1095	304	240	296	435	260	249	332	306	359	664	704	1375	674	801
GNL3LP1	14	20	18	21	27	13	8	8	6	6	3	1	5	7	4	1	0	1	1	0
DSTNP4	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
CD27-AS1	181	256	336	196	163	115	116	63	65	99	149	128	119	122	263	365	245	211	205	199
NEURL4	361	1196	577	779	614	416	23	21	14	14	21	32	13	12	141	13	101	25	97	93
GRID2IP	38	118	24	68	40	12	28	15	9	16	12	15	6	9	7	25	12	27	14	25
HNRNPCP10	0	0	0	0	1	0	1	1	5	7	0	0	0	0	0	0	0	0	0	0
PKMP5	0	0	1	0	0	0	5	0	1	1	1	0	0	1	0	0	0	0	0	0
ALOX12-AS1	72	14	48	44	18	22	79	46	37	62	23	23	24	16	82	89	80	98	60	174
AC025171.2	14	10	27	19	42	14	6	11	8	2	2	8	0	4	56	54	79	36	91	140
NPM1P24	0	2	2	4	1	3	2	2	6	2	11	21	1	2	1	2	1	3	0	0
KRT18P11	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
EEF1A1P29	1	1	2	1	5	0	0	2	5	4	2	2	1	0	0	0	0	0	0	0
TTC3P1	53	82	31	61	27	39	20	21	13	12	20	15	28	26	16	46	31	9	26	3
UBXN2B	146	336	441	287	341	351	308	250	139	157	230	195	208	154	542	509	556	436	417	742
AL590763.1	0	0	0	1	0	0	2	6	1	4	2	1	2	2	1	0	3	0	0	2
AMD1P4	0	0	0	2	0	0	2	0	2	1	7	0	0	1	0	1	0	0	0	0
CBWD6	295	444	460	427	356	231	134	99	79	81	91	124	172	155	100	99	128	171	102	133
SYT14P1	0	0	5	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
C16orf90	0	3	1	1	0	2	3	3	2	1	0	0	0	0	2	2	0	0	1	0
BX322639.1	6	46	23	4	33	26	37	33	24	27	33	20	20	29	20	9	38	16	53	9
PRSS41	0	0	0	5	0	0	8	0	0	3	1	1	0	1	0	9	5	3	1	2
AC141586.1	63	111	62	114	90	43	26	19	17	11	49	23	13	13	63	56	65	51	62	95
AC138409.1	4	14	15	8	11	5	39	23	9	20	4	6	14	16	1	0	1	0	7	16
AC138409.2	27	44	46	35	39	10	22	13	30	19	48	24	10	13	26	14	26	20	28	47
OR7E122P	3	0	8	2	2	0	14	6	2	6	1	5	6	3	0	0	0	0	0	1
MAPK6P4	0	0	0	1	0	0	1	3	4	0	2	0	4	0	0	0	0	0	0	0
MUC5AC	0	0	0	2	0	0	11	1	4	4	0	1	0	5	0	0	0	0	0	0
MSMP	7	2	2	1	0	0	11	3	2	9	5	4	7	2	0	0	0	0	0	0
RPS12P16	0	0	3	0	0	0	2	10	2	7	6	6	0	2	0	0	0	0	0	0
GOLGA6B	0	2	0	0	0	6	6	0	4	3	0	0	0	0	0	1	0	1	0	6
FAM166B	0	26	7	9	0	0	9	8	4	8	5	0	4	1	1592	681	378	96	74	17
LINC00680	106	138	262	152	100	96	75	49	36	49	74	47	32	49	57	65	112	118	84	156
PEX26	821	831	787	775	561	450	225	215	141	175	237	155	105	101	933	1151	1218	894	1045	885
BASP1-AS1	0	14	9	16	15	0	6	4	4	1	7	5	1	9	29	29	41	58	22	30
AL353795.1	0	1	0	0	0	3	1	1	1	0	0	1	1	0	0	1	0	0	0	0
YWHAZP6	0	0	3	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0
RBMXP2	1	0	4	3	1	0	8	7	6	9	7	5	10	9	7	3	2	5	3	0
C5orf49	0	12	29	12	16	6	18	19	5	10	3	13	7	3	0	4	2	7	0	3
UBE2QL1	106	581	373	232	120	52	42	42	7	9	15	16	16	39	106	53	116	77	111	11
UBA52P6	0	1	1	2	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
LINC01020	0	2	0	0	0	0	3	0	2	4	4	2	0	0	0	0	1	0	0	1
AL592293.1	0	0	0	2	0	0	3	1	6	11	5	0	4	6	5	4	3	0	4	0
LINC02449	2	19	14	40	21	14	18	8	6	9	8	14	5	5	8	6	15	3	11	7
AC116351.1	0	0	2	0	3	0	1	0	1	3	4	0	0	1	1	0	0	0	0	0
FASTKD5	182	880	706	994	804	436	221	164	119	174	210	136	162	158	355	500	739	701	1039	411
GOLGA8B	530	4556	562	1835	1762	954	313	251	149	188	145	119	125	148	1409	1578	647	1353	1210	1591
DHRS4-AS1	38	172	194	187	126	84	145	102	91	117	199	192	133	127	4	9	14	4	1	4
AKR1C7P	0	2	0	0	0	0	5	2	22	11	8	4	5	6	4	12	4	29	12	14
HOMEZ	283	798	328	392	355	384	95	57	60	96	157	99	61	81	278	277	246	285	310	335
GAGE10	0	0	6	0	7	0	9	3	1	2	2	5	3	2	1	2	0	0	3	0
RNF212B	3	1	0	0	1	1	30	17	8	15	18	19	9	14	6	9	19	9	1	5
HMGB3P24	0	5	1	7	3	0	1	1	1	1	1	2	0	0	2	6	2	7	1	12
AL512633.1	0	1	1	0	0	0	1	0	1	4	1	0	0	1	0	0	0	0	0	0
AL354941.1	0	0	0	2	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0
DDX3X	803	3756	2740	3874	3068	2766	2191	1722	1867	2322	2788	2691	2134	1808	8498	7100	8184	7011	8251	9797
AC127502.1	0	103	47	27	36	39	21	25	9	11	9	8	7	7	32	51	61	29	101	78
AC135983.1	0	0	3	1	4	0	8	11	2	3	2	0	6	2	0	0	0	0	0	0
VPS16	1163	1722	1866	1838	1442	757	111	62	67	89	119	82	62	60	739	932	792	785	802	1034
RPL6P30	0	0	1	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0
ASS1P10	0	0	0	1	0	0	4	0	0	1	0	1	0	0	0	4	2	0	2	0
GPX1P2	1	1	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0
KRT18P23	0	0	0	0	5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
SLC25A5P1	4	1	2	4	2	2	1	1	3	2	2	0	1	1	3	0	4	2	1	2
PPIAP1	1	1	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A24P	0	3	0	0	0	0	9	0	0	0	1	5	4	3	0	0	0	0	0	0
FAM66B	0	20	16	8	2	13	2	5	5	2	9	2	1	7	2	0	5	5	3	6
MYL5	818	646	677	706	503	220	1760	1163	962	1330	2068	1842	1288	1300	373	450	263	320	259	397
MIR99AHG	74	119	112	93	118	94	246	191	120	167	174	165	319	266	72	102	81	60	64	12
ACTG1P3	0	17	1	13	8	0	2	3	3	0	4	2	6	3	11	2	9	7	1	3
PSMA6P1	1	0	0	1	2	0	49	31	30	29	53	39	46	45	30	38	26	48	62	34
MIR17HG	4	0	0	6	4	2	13	10	14	14	13	9	4	5	32	21	43	55	41	65
ZNF407	130	587	468	507	443	199	72	49	48	70	68	71	59	49	203	270	309	229	331	410
MCM3AP-AS1	33	175	156	115	53	75	230	214	128	221	258	192	111	125	62	85	100	112	83	128
NPEPL1	880	1820	1616	1366	1085	470	59	49	38	51	62	55	30	28	278	329	290	338	212	574
AL022342.1	0	1	0	1	1	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0
ZNF663P	0	6	1	2	4	3	7	3	5	2	1	3	6	2	1	1	0	0	2	0
KRTAP10-4	0	0	5	0	0	0	6	3	3	2	0	0	1	0	0	0	0	0	0	0
RPS8P3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AATBC	0	10	6	7	37	6	8	7	4	6	2	2	5	6	27	29	11	6	11	104
RPL27AP	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1
RPL17-C18orf32	92	401	291	474	338	94	8904	5725	4395	5817	7157	6042	5342	5179	0	1	4	5	5	3
CES5AP1	167	140	111	43	16	28	34	21	37	59	18	13	62	53	0	1	1	0	0	0
OR7E37P	0	3	2	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	3
BCRP3	0	14	10	7	1	1	2	2	2	0	2	0	0	0	5	1	0	2	1	3
CALM2P3	0	0	0	1	1	0	37	14	12	14	16	21	25	17	1	1	3	2	1	3
LINC00598	119	159	161	137	140	26	99	56	44	35	66	46	76	82	55	53	32	11	3	5
HNRNPA1P7	605	1040	1156	1362	1535	1484	229	268	207	305	342	271	174	201	224	315	314	408	461	238
AC007731.1	0	6	0	0	4	14	1	0	0	0	0	0	0	1	20	10	22	7	14	13
IFIT1P1	0	0	0	0	21	0	0	1	1	0	0	0	0	4	4	0	1	1	1	6
EFCAB8	0	0	0	2	0	0	12	12	7	15	9	6	5	2	19	6	14	16	5	30
LINC00189	0	3	0	3	5	0	10	10	6	0	0	0	0	1	20	8	4	22	2	25
BCRP7	0	0	0	0	2	0	2	0	3	0	1	0	0	3	0	0	0	0	0	0
FRG1JP	0	0	0	0	6	2	20	15	22	19	14	17	21	25	48	11	42	2	51	14
ANKRD20A11P	9	0	0	15	6	2	16	4	14	7	29	30	14	10	1	0	1	0	7	1
CNN2P7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GRK6P1	0	0	2	2	1	0	4	0	2	6	0	0	0	1	4	4	1	1	1	0
C20orf202	0	0	0	2	0	0	1	0	4	2	2	3	1	0	1	0	2	1	3	2
HMX1	0	3	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
GUSBP9	12	20	12	30	13	29	7	6	4	5	7	11	0	2	5	24	12	2	1	13
GCGR	0	7	0	0	0	0	15	3	1	0	1	0	0	4	0	0	0	0	0	0
AC114730.1	0	16	17	17	3	6	0	0	2	0	0	1	1	0	2	2	0	0	1	1
RSC1A1	2	6	13	8	6	7	34	26	25	21	42	34	26	22	0	0	0	0	0	0
CELA2B	25	185	49	91	89	16	182	124	34	55	163	119	153	102	64	188	140	107	79	17
TMEM242	142	383	409	360	382	195	418	244	174	224	318	321	235	172	291	361	348	331	337	258
TMEM167B	147	636	451	954	748	517	660	417	347	453	479	445	446	388	1257	1060	1086	1272	965	1343
ARHGAP27P1-BPTFP1-KPNA2P3	79	268	126	206	211	68	98	59	48	60	41	26	35	35	24	39	40	44	22	105
LRRC37A14P	0	4	0	0	0	0	3	2	3	5	2	0	3	0	0	1	0	0	0	0
FAM72D	0	6	5	0	5	18	7	4	1	1	3	4	2	2	8	8	2	5	1	6
TNFRSF25	113	61	47	20	28	24	9	7	7	8	2	5	3	3	330	293	233	618	284	1835
SLC35E2A	385	1227	1087	1219	426	487	148	137	118	190	98	85	26	41	285	182	166	496	181	203
AL390728.2	0	11	8	2	4	4	2	0	5	4	1	1	0	0	6	13	10	11	7	3
AL512637.1	0	0	0	0	2	0	0	1	1	2	3	5	0	2	0	0	0	0	0	0
AL356361.1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC01139	0	0	4	0	0	0	6	7	9	7	4	4	1	6	13	12	24	3	9	1
ZC3H11B	10	49	48	41	16	61	12	22	27	22	19	18	21	12	125	92	92	68	98	129
AL596087.1	1	4	15	8	9	13	28	17	9	16	24	18	7	8	15	12	43	18	47	21
SDHAP2	0	99	89	133	0	0	78	41	66	79	50	38	30	36	0	0	0	0	0	0
AL592295.1	3	9	6	2	4	0	0	0	0	4	1	3	0	0	2	2	1	3	0	6
TSTD1	559	529	909	1027	874	440	967	450	355	473	767	663	579	553	328	540	328	520	246	310
PDZK1P1	0	12	10	14	1	0	0	0	0	0	0	2	0	1	25	12	4	7	6	16
LINC01356	25	56	154	96	100	52	128	82	45	86	57	57	45	44	7	14	8	12	11	2
KRT18P57	0	0	2	7	4	0	6	5	3	3	2	4	0	0	0	0	2	0	0	2
AC092506.1	0	0	1	0	0	0	8	1	6	9	5	4	1	0	6	0	2	0	4	0
FEN1P1	0	3	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0
MARCKSL1P2	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0
CYB5RL	78	68	189	103	80	74	35	36	19	26	23	13	7	9	149	191	180	101	140	188
ZNF859P	0	2	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0
RPL23AP17	0	0	0	2	0	0	3	0	1	0	1	1	1	0	0	0	0	0	0	0
AL354702.1	0	8	2	4	1	0	7	2	3	9	5	2	5	7	1	0	0	1	0	0
