	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
AC092821.1	17	115	83	49	10	23
POLR2J4	130	215	144	256	176	104
AC010468.1	33	53	171	122	201	110
MS4A4E	0	5	0	6	26	0
AP000790.1	0	0	6	0	0	0
AC098934.1	18	21	5	3	14	3
AC090921.1	15	10	8	4	0	6
FER1L6	0	0	2	7	0	3
MPRIPP1	42	37	22	8	17	12
HMGB1P4	1	0	1	0	1	0
DDX12P	0	15	34	19	10	13
MTCP1	65	194	131	137	154	66
UPF3AP2	115	33	61	25	16	14
LINC01347	0	46	15	12	7	10
RAD51AP2	0	4	0	0	0	0
AC114744.1	0	2	4	0	0	4
LINC00612	0	14	0	0	0	6
APOC1P1	6	14	27	38	11	2
KRT16P1	0	2	0	0	0	0
EVPLL	0	0	0	3	8	0
DCDC2C	0	0	0	0	2	0
SRSF9P1	4	0	6	8	8	0
AC004540.1	22	12	23	26	18	5
SMTNL1	0	33	0	10	12	2
MED28P1	0	2	0	8	1	0
TMEM14DP	0	5	2	3	2	1
RPS9P1	0	0	0	3	0	0
LINC00243	4	0	8	10	15	6
RPSAP55	1	0	0	1	0	0
LINC01588	547	1595	351	359	179	28
RPL23AP3	0	0	1	1	1	3
AC011825.1	1	0	0	0	0	0
HLA-F-AS1	0	13	2	0	0	5
NPIPA8	505	780	511	500	241	135
ZSWIM7	374	350	574	588	367	254
ARHGEF28	589	2301	2317	2171	1669	1039
TBC1D26	0	1	4	6	11	0
LRRC69	28	0	28	4	14	0
AP000317.1	9	2	11	8	0	3
ISPD	44	80	57	64	41	28
NPIPA7	334	419	317	284	161	69
CHCHD3P3	0	0	0	1	0	0
PPIAP29	80	89	187	181	182	83
RPL7AP26	0	2	0	2	4	0
AKAP17BP	32	25	7	36	0	0
CCNB2P1	0	0	0	3	0	0
AC129492.2	0	6	0	0	0	0
RPL15P20	0	1	1	1	1	0
CHCHD2P2	1	1	2	1	1	0
DNAJA1P3	0	1	2	1	2	0
RTL10	140	388	468	263	280	242
AL645728.1	31	72	93	77	32	26
COL28A1	0	29	8	3	3	3
PHB2	2280	4743	4252	4519	4189	2065
AL008729.1	24	19	23	24	15	3
AC131097.1	13	10	0	6	7	4
RPL13P12	680	248	626	365	510	1095
GNL3LP1	14	20	18	21	27	13
DSTNP4	0	0	0	1	0	0
CD27-AS1	181	256	336	196	163	115
NEURL4	361	1196	577	779	614	416
GRID2IP	38	118	24	68	40	12
HNRNPCP10	0	0	0	0	1	0
PKMP5	0	0	1	0	0	0
DUSP8P4	0	6	1	0	1	1
ALOX12-AS1	72	14	48	44	18	22
AC025171.2	14	10	27	19	42	14
NPM1P24	0	2	2	4	1	3
KRT18P11	0	3	0	0	1	0
EEF1A1P29	1	1	2	1	5	0
DUSP8P3	0	20	12	7	8	5
TTC3P1	53	82	31	61	27	39
UBXN2B	146	336	441	287	341	351
AL590763.1	0	0	0	1	0	0
AMD1P4	0	0	0	2	0	0
CBWD6	295	444	460	427	356	231
SYT14P1	0	0	5	0	0	0
C16orf90	0	3	1	1	0	2
BX322639.1	6	46	23	4	33	26
PRSS41	0	0	0	5	0	0
AC141586.1	63	111	62	114	90	43
AC138409.1	4	14	15	8	11	5
AC138409.2	27	44	46	35	39	10
OR7E122P	3	0	8	2	2	0
MAPK6P4	0	0	0	1	0	0
MUC5AC	0	0	0	2	0	0
MSMP	7	2	2	1	0	0
RPS12P16	0	0	3	0	0	0
GOLGA6B	0	2	0	0	0	6
FAM166B	0	26	7	9	0	0
LINC00680	106	138	262	152	100	96
PEX26	821	831	787	775	561	450
BASP1-AS1	0	14	9	16	15	0
AL353795.1	0	1	0	0	0	3
YWHAZP6	0	0	3	0	1	0
RBMXP2	1	0	4	3	1	0
C5orf49	0	12	29	12	16	6
UBE2QL1	106	581	373	232	120	52
UBA52P6	0	1	1	2	1	0
LINC01020	0	2	0	0	0	0
AL592293.1	0	0	0	2	0	0
LINC02449	2	19	14	40	21	14
LINC02649	0	12	11	0	0	0
AC116351.1	0	0	2	0	3	0
FASTKD5	182	880	706	994	804	436
GOLGA8B	530	4556	562	1835	1762	954
DHRS4-AS1	38	172	194	187	126	84
AKR1C7P	0	2	0	0	0	0
AP000533.2	1	1	2	0	0	0
AP000523.1	5	162	92	90	52	46
HOMEZ	283	798	328	392	355	384
GAGE10	0	0	6	0	7	0
RNF212B	3	1	0	0	1	1
HMGB3P24	0	5	1	7	3	0
AL512633.1	0	1	1	0	0	0
AL354941.1	0	0	0	2	0	0
DDX3X	803	3756	2740	3874	3068	2766
AC127502.1	0	103	47	27	36	39
AC135983.1	0	0	3	1	4	0
VPS16	1163	1722	1866	1838	1442	757
RPL6P30	0	0	1	0	0	0
ASS1P10	0	0	0	1	0	0
GPX1P2	1	1	0	1	0	0
KRT18P23	0	0	0	0	5	0
SLC25A5P1	4	1	2	4	2	2
PPIAP1	1	1	1	1	0	0
FAM90A24P	0	3	0	0	0	0
FAM66B	0	20	16	8	2	13
MYL5	818	646	677	706	503	220
MIR99AHG	74	119	112	93	118	94
ACTG1P3	0	17	1	13	8	0
PSMA6P1	1	0	0	1	2	0
MIR17HG	4	0	0	6	4	2
ZNF407	130	587	468	507	443	199
MCM3AP-AS1	33	175	156	115	53	75
NPEPL1	880	1820	1616	1366	1085	470
AL022342.1	0	1	0	1	1	0
ZNF663P	0	6	1	2	4	3
KRTAP10-4	0	0	5	0	0	0
RPS8P3	1	0	0	0	1	0
AATBC	0	10	6	7	37	6
RPL27AP	1	0	0	0	0	0
RPL17-C18orf32	92	401	291	474	338	94
CES5AP1	167	140	111	43	16	28
OR7E37P	0	3	2	0	1	0
BCRP3	0	14	10	7	1	1
CALM2P3	0	0	0	1	1	0
LINC00598	119	159	161	137	140	26
HNRNPA1P7	605	1040	1156	1362	1535	1484
AC007731.1	0	6	0	0	4	14
IFIT1P1	0	0	0	0	21	0
EFCAB8	0	0	0	2	0	0
LINC00189	0	3	0	3	5	0
BCRP7	0	0	0	0	2	0
FRG1JP	0	0	0	0	6	2
ANKRD20A11P	9	0	0	15	6	2
CNN2P7	0	0	1	0	0	0
GRK6P1	0	0	2	2	1	0
C20orf202	0	0	0	2	0	0
HMX1	0	3	3	0	0	0
GUSBP9	12	20	12	30	13	29
GCGR	0	7	0	0	0	0
AC114730.1	0	16	17	17	3	6
RSC1A1	2	6	13	8	6	7
CELA2B	25	185	49	91	89	16
TMEM242	142	383	409	360	382	195
TMEM167B	147	636	451	954	748	517
ARHGAP27P1-BPTFP1-KPNA2P3	79	268	126	206	211	68
LRRC37A14P	0	4	0	0	0	0
FAM72D	0	6	5	0	5	18
TNFRSF25	113	61	47	20	28	24
SLC35E2A	385	1227	1087	1219	426	487
AL390728.2	0	11	8	2	4	4
AL512637.1	0	0	0	0	2	0
AL356361.1	0	0	0	2	0	0
LINC01139	0	0	4	0	0	0
ZC3H11B	10	49	48	41	16	61
AL596087.1	1	4	15	8	9	13
SDHAP2	0	99	89	133	0	0
AL592295.1	3	9	6	2	4	0
TSTD1	559	529	909	1027	874	440
PDZK1P1	0	12	10	14	1	0
AC245297.1	518	1263	1852	2971	2316	686
LINC01356	25	56	154	96	100	52
KRT18P57	0	0	2	7	4	0
AC092506.1	0	0	1	0	0	0
FEN1P1	0	3	0	0	0	0
MARCKSL1P2	1	0	0	0	0	0
CYB5RL	78	68	189	103	80	74
ZNF859P	0	2	0	0	0	0
RPL23AP17	0	0	0	2	0	0
AL354702.1	0	8	2	4	1	0
AC209007.1	0	1	1	1	0	0
CROCCP2	221	743	366	473	364	372
C1orf167	3	18	7	6	4	14
TTC34	0	14	5	12	30	5
MMP23A	68	102	94	51	104	31
ATAD3C	0	48	45	52	22	26
MIR933	0	0	0	1	0	0
MIR298	0	0	0	0	0	2
MIR938	0	0	0	1	0	0
MIR887	0	0	1	0	0	0
MIR877	0	2	1	1	1	1
MIR941-2	0	1	0	1	1	0
MIR941-4	0	1	0	0	1	0
AC078819.1	30	146	170	128	132	102
AL136309.1	0	1	0	0	0	0
AL022722.1	0	0	0	2	4	0
HIST1H1PS1	0	4	0	2	0	0
AL136968.1	0	0	2	4	1	0
RPL12P2	0	0	2	0	1	2
RPSAP43	1	0	0	8	1	0
AL078604.1	0	0	1	0	1	0
IFI30	90	111	568	356	2464	151
GAPDHP72	1	1	1	1	1	0
AL133406.1	0	0	0	0	6	0
AL136116.1	0	0	0	0	2	0
GLRX3P2	0	0	1	0	1	0
AL031229.1	0	0	1	0	0	0
ANXA2P3	0	1	0	0	1	0
HMGA1P7	2	0	0	0	0	0
AL109918.1	34	481	286	40	166	99
AL589993.1	2	6	2	5	3	5
TUBB2BP1	0	0	3	120	0	0
FGF7P4	0	3	0	0	0	0
RPL17P26	1	2	0	1	1	0
LY86-AS1	4	0	0	0	8	0
RPS2P55	26	22	71	54	77	32
RPL22P12	1	0	0	0	1	0
AC009403.1	43	37	54	52	46	23
AL355312.1	0	6	0	14	6	0
CCDC7	15	22	16	8	13	10
RPL21P65	0	0	1	0	2	0
HSPD1P10	0	3	3	8	0	0
RPL10P1	0	1	0	2	0	0
TPT1P4	1	1	5	3	2	0
AL512430.2	0	1	0	0	0	0
AL021407.1	1	6	0	0	0	0
PPIAP31	6	28	38	53	41	39
FNIP1	57	403	319	414	285	348
AL139100.1	2	1	10	7	4	5
LARP1P1	0	0	0	0	5	0
ANKRD18EP	0	2	1	6	10	18
AL139039.2	0	0	0	1	0	0
SP9	0	6	0	0	0	0
AL136968.2	0	0	0	1	0	0
CBX3P9	4	2	12	19	6	2
POM121L4P	0	1	2	1	1	1
AL031777.1	0	0	8	9	3	0
AC079776.1	0	0	0	0	2	1
UQCRFS1P3	0	0	0	3	0	2
OR2W2P	0	0	0	0	0	4
PRELID1P1	1	3	6	1	5	0
RPS7P5	0	0	0	0	2	0
SSXP10	0	2	0	3	0	0
AL355615.1	0	2	0	0	0	0
PSMC1P11	0	0	1	0	0	0
DDX18P3	0	0	1	0	0	0
ISCA1P1	0	0	3	0	2	0
SYCE3	0	4	8	13	11	3
HMGB1P17	3	0	0	0	0	0
AL356057.1	0	0	2	0	0	2
AL136116.2	0	0	0	1	0	0
RPS16P5	0	1	0	9	0	2
CKLF	122	167	148	287	286	77
AL158066.1	1	37	35	21	12	8
AL031119.1	0	0	0	2	0	0
AL627402.1	3	12	10	24	11	7
FO393413.1	0	0	1	0	0	0
PTGES3P2	0	2	2	0	10	0
AL355864.1	0	0	1	0	0	0
HIST1H2BPS2	0	0	0	0	0	1
AL136116.3	0	29	15	29	18	9
AL353692.1	0	2	0	0	1	0
AC073263.1	4	25	2	28	6	5
RPS10P3	11	19	51	63	69	30
CCT7P1	0	1	0	2	0	0
NDUFAB1P1	5	0	0	2	0	0
AL157777.1	0	1	2	2	0	0
AL138827.1	1	0	0	0	0	0
LDHAL6FP	0	2	5	0	0	0
ASS1P9	0	6	0	2	2	0
AL390719.1	16	74	72	23	40	0
SNRPEP6	0	0	0	1	1	0
AL034397.1	0	1	2	0	1	0
HIST1H4PS1	0	0	2	0	0	0
KRT18P48	0	0	0	0	2	0
CICP18	4	16	1	10	7	7
PAM16	700	782	676	1231	768	343
KRT19P1	0	0	0	0	2	0
AL109955.1	14	0	0	7	0	7
AL512329.1	0	0	0	0	1	0
ADAMTS7P4	0	0	6	26	11	2
AL021407.3	0	0	0	5	0	0
KIRREL3-AS3	0	2	0	0	0	0
AC016739.1	20	28	54	35	35	23
POM121L14P	0	1	0	0	2	0
RPS27AP11	0	1	1	2	1	0
FTH1P26	0	0	4	0	0	0
TATDN2P2	0	12	0	47	10	16
AC136632.1	139	1	57	13	7	3
NEPNP	0	0	0	0	6	0
AL591034.1	3	1	0	0	0	0
MORF4L1P1	2	9	22	8	19	7
CDC14C	0	2	0	0	0	0
TENM3	224	1003	1280	894	802	1003
HNRNPA1P1	0	0	0	1	0	0
LYPLA1P3	1	2	1	0	0	0
RPS3AP23	1	1	0	0	0	0
RAET1K	0	146	22	32	29	12
AC110619.1	10	24	0	55	15	10
AL591135.1	14	44	39	22	28	28
AL590867.2	669	428	986	1155	1203	582
NIP7P3	0	3	0	0	6	0
RPS27P15	0	1	1	0	0	0
AL590004.2	1	0	0	0	0	0
LINC00339	53	37	40	25	87	21
MIF-AS1	1148	3061	2817	3362	1481	369
AL592429.1	0	0	0	0	7	0
HNRNPA1P37	1	0	5	0	0	0
GAPDHP63	1	1	3	2	3	0
AL162578.1	0	0	4	0	2	0
AL117344.1	0	2	3	0	6	0
RPL7P28	0	0	1	2	0	0
RPL5P20	0	2	0	2	0	3
BRD7P4	0	2	0	0	0	0
AC064847.1	15	5	0	2	0	0
AL512378.1	482	184	50	86	40	8
AL117342.1	0	0	2	0	0	0
CEBPZOS	266	519	661	710	559	342
AL033519.1	1	0	0	0	0	3
AL121952.1	0	2	0	0	0	0
HSPD1P16	0	0	1	0	0	0
GSTM2P1	0	0	3	3	0	4
AL391903.1	0	0	0	4	6	0
PAPOLB	0	0	0	2	0	0
AL137222.1	0	2	0	4	0	0
ZNF579	600	1078	1441	742	789	497
TUBB8P2	0	0	0	2	0	0
FTH1P15	1	0	2	1	1	0
ARL4AP5	6	9	13	13	6	5
AL033519.2	46	14	90	38	83	33
RPS3AP2	2	0	0	0	0	0
AC005102.1	0	9	2	0	4	0
TRIM51FP	0	0	4	0	0	0
CELA3B	0	3	0	1	3	0
SOD1P1	28	0	0	6	2	2
NPM1P37	0	0	0	1	0	0
HNRNPA3P12	0	2	2	3	0	0
AL592114.1	14	5	7	12	12	1
RPL23AP48	1	1	0	1	1	0
RPS4XP8	0	0	1	0	0	0
PPIAP87	0	1	0	1	1	0
AL603914.1	4	1	0	1	0	0
HMGB1P20	226	14	21	14	4	0
FTH1P19	127	78	142	270	33	45
RNASEK	332	839	1592	1319	1222	661
AC138392.1	2	6	12	13	9	6
AMZ2P2	0	0	0	0	2	0
NPM1P38	0	0	0	0	1	0
PIP5K1P1	0	0	0	0	2	0
MRPL42P3	0	0	0	4	0	0
AL357515.1	0	15	3	7	3	0
RPL31P52	3	4	7	2	5	2
AL138880.1	2	15	7	8	0	0
ZNF602P	0	0	0	2	1	6
HSPA8P15	0	0	4	3	0	0
AC125494.1	149	1217	536	825	626	371
BTBD10P2	0	0	0	3	0	3
CATSPERZ	6	0	0	1	0	1
FAM19A5	279	1505	734	542	452	245
AC019155.2	3	0	0	0	0	0
RPL23P8	2	6	15	6	6	0
AL355802.1	2	2	6	11	8	3
NBPF1	111	538	450	476	225	382
AL603766.1	0	0	2	0	0	3
FTH1P8	128	134	356	202	102	68
AP000580.1	8	17	29	29	20	0
UMAD1	57	63	86	146	85	71
RPL17P25	0	0	1	0	3	0
AL031133.1	0	0	0	3	0	0
AL512430.3	0	0	0	0	1	0
ZNF259P1	0	0	0	2	2	0
PPP1R3G	221	786	810	424	436	223
HIGD1AP16	4	0	0	0	0	0
FAM228B	176	314	425	272	183	195
BMPR1AP1	0	0	2	2	1	1
ZNF433-AS1	70	58	56	68	133	49
AL133268.1	1	4	3	10	8	5
FGF7P8	0	0	0	0	2	0
AL357054.1	0	0	0	2	0	0
AL133260.1	9	10	20	16	10	0
AL137784.1	33	50	38	42	21	9
RPSAP45	0	1	2	3	3	1
OSTCP6	0	0	0	4	0	0
ATP5PBP6	0	0	1	0	0	0
RPL23AP47	1	7	4	5	4	3
RPL31P28	0	0	1	0	0	0
GAPDHP42	0	0	0	2	0	0
ZSCAN12P1	5	125	106	74	104	110
RPL35P3	0	0	0	0	0	3
OR7E104P	0	1	0	0	1	0
AL161787.1	2	2	8	4	4	0
RPL12P8	8	7	13	13	9	24
AL391416.1	1	1	1	4	4	0
LINGO3	27	30	12	16	49	11
RPL7P27	0	0	0	0	0	4
AL353151.1	0	0	3	0	0	2
AL079342.1	1	0	1	0	0	0
AL355796.1	27	2	4	0	4	0
HNRNPA1P12	1	2	1	1	1	0
LINC02076	0	2	3	7	10	2
AL357075.1	0	0	2	0	0	0
ZGLP1	288	210	142	63	55	46
VAMP2	2221	3533	3885	3408	1990	901
RPS24P12	0	0	0	2	0	0
AL157777.2	0	3	0	0	0	0
AC093802.1	0	0	4	0	0	0
ACTBP8	0	0	1	2	0	4
HNRNPH1P1	0	2	3	0	4	3
HIST2H2BD	81	238	166	282	193	174
AL603865.2	1	0	0	0	0	3
PPIAP74	0	0	0	1	1	0
Z85996.1	0	0	0	5	0	0
KRT8P42	14	142	44	127	62	23
AL356234.1	0	2	0	0	0	0
TUBB3P1	1	0	0	0	0	0
AL139095.2	8	5	11	13	9	9
YAP1P1	0	2	3	4	2	0
ASS1P1	2	4	3	2	11	4
PKMP3	1	5	14	1	2	8
RPL35P2	4	4	7	3	10	0
AL121834.1	0	2	0	0	1	2
AL031577.2	0	0	0	0	0	1
RCC2P7	0	6	0	3	0	0
AL139094.1	4	13	10	4	4	0
AL096711.1	0	2	0	0	0	2
Z86062.1	1	2	3	2	12	2
OR1F12	0	0	0	1	0	2
RPL21P28	688	188	452	395	396	136
MTMR9LP	366	451	582	328	331	238
RPL21P119	354	220	466	468	440	260
LINC01881	42	138	87	64	104	98
RPL21P16	2591	1008	2352	1903	2349	1310
RPS18P9	46	67	86	91	65	29
HIST1H3PS1	1	3	1	0	2	0
AC246793.1	0	0	0	2	0	0
AL023807.1	0	0	3	0	2	4
OSTCP4	0	1	0	0	0	0
IGBP1-AS2	8	0	1	0	0	0
HNRNPA1P41	12	7	7	0	5	0
SNORD88C	0	0	0	1	3	0
RNU6ATAC29P	0	0	0	1	0	0
MIR1231	0	0	0	0	1	2
MIR1233-2	0	2	0	0	1	1
RF00599	44	3	6	1	3	0
MIR1302-5	0	2	1	10	1	0
RNU6ATAC30P	0	2	2	0	0	0
SNORD110	1	1	0	1	1	1
MIR1224	0	2	0	0	1	0
RF00603	0	0	0	1	2	0
SNORA11F	4	7	6	3	4	2
AL513534.1	0	8	3	2	1	0
RNU6ATAC27P	0	3	0	0	0	0
SNORD88A	0	0	0	0	1	0
RF00614	0	0	0	1	0	0
MIR1237	0	1	1	1	1	1
RNU6ATAC18P	0	0	0	1	3	0
RNU6ATAC20P	4	0	0	0	0	0
MIR1228	0	1	0	0	1	1
SNORD88B	0	1	1	1	1	1
MIR1229	1	1	1	1	1	1
MIR320B2	2	0	0	0	0	0
MIR1238	15	4	1	2	2	0
MIR1227	1	1	1	2	1	2
SNORA81	0	1	1	1	1	1
MIR1301	0	0	0	0	3	0
MIR1271	0	1	0	1	0	0
RNU6ATAC11P	0	0	0	0	5	0
SNORA11D	1	1	1	1	1	0
SNORA2C	0	4	3	2	2	0
SNORD100	0	3	6	4	5	1
RNU6ATAC40P	0	3	0	2	0	0
MIR548O	0	1	0	0	0	0
RNU6ATAC16P	0	0	0	2	2	0
MIR1285-1	0	1	0	1	0	0
SNORD99	0	0	0	1	1	0
MIR1180	0	0	1	0	4	2
RNU6ATAC10P	0	0	0	2	2	0
RNU6ATAC35P	0	2	0	0	0	0
MIR1226	1	5	2	2	3	0
MIR1249	0	0	0	1	0	0
RF00604	6	0	2	2	0	0
MIR1302-4	0	2	0	0	0	0
MIR1276	0	3	0	0	0	0
RF00334	1	4	4	0	0	0
SNORA77	247	10	55	39	5	11
MIR1233-1	0	1	0	0	1	1
MIR1225	0	2	0	1	0	0
MIR548N	0	0	0	2	0	0
RNU6ATAC	0	0	0	0	2	0
MIR1278	0	0	0	2	0	0
SNORA11E	1	1	1	1	1	0
SNORA11	9	3	8	5	5	2
SNORD93	0	0	0	0	0	1
SNORA11G	0	1	1	0	0	1
MIR1205	0	0	1	0	0	0
MIR1183	2	0	0	2	0	0
MIR1282	0	0	1	1	1	0
SNORD23	1	1	1	1	1	1
OR6B1	0	12	0	0	0	0
PPP3CB-AS1	0	88	81	53	76	54
EBF2	0	6	0	0	0	0
GAS8-AS1	15	17	0	1	3	2
C6orf226	202	191	287	386	409	100
PPP3R1	472	1469	1306	1128	931	834
PSG3	6	2	2	10	7	5
FANCG	250	242	349	154	226	141
OR2A5	4	0	2	0	0	0
AP4M1	210	536	551	749	436	244
C2orf16	39	147	124	122	62	49
C7orf65	0	0	0	0	2	0
KRTAP1-5	0	0	2	0	0	0
AC020907.2	0	11	0	1	0	1
OR2A12	99	11	15	2	2	1
PLXNA4	21	141	127	17	135	69
CEBPD	6498	8868	17262	9868	16959	9625
ZNF816-ZNF321P	0	1	0	0	0	0
OR3A2	0	0	0	9	0	0
ARIH2OS	4	67	14	48	18	30
ZBED8	0	17	33	11	44	33
NPTXR	25	119	195	78	104	90
FAM200A	123	208	180	97	114	123
OR2F2	0	0	0	0	0	3
PPP2R2A	108	1317	1328	1399	690	947
C19orf73	0	13	58	23	24	16
ZNF880	70	75	170	94	156	36
TRIM16	418	611	890	811	524	338
FAM45BP	9	9	23	9	14	12
TAS2R40	0	0	0	0	0	3
OR2A14	0	4	0	2	0	0
TIGD1	0	75	0	83	95	0
FXYD7	5	0	0	2	0	2
LINC01465	6	71	30	53	30	21
C1orf229	13	2	7	11	0	7
SLC12A8	914	4510	4516	4990	3466	1926
KIR2DS4	0	0	0	0	6	0
TMEM14EP	0	0	0	0	6	0
APOL6	168	458	498	473	484	308
FADS3	1571	3353	3700	3910	1885	1239
OR2A1	1	118	15	102	80	4
CCNL2	1704	3392	3058	2268	1576	1111
UBA52	14215	11519	16469	22404	22778	6660
PPT2	260	820	807	726	721	373
EXOC3-AS1	147	110	180	159	123	34
ZNF630	45	104	167	89	184	16
TIAF1	26	80	27	32	24	19
LINC01118	10	14	5	2	27	4
BTBD19	19	744	333	1158	671	190
FAM185A	12	28	49	48	56	30
AC005481.1	14	15	9	9	14	4
RAB6C	1	1	11	0	0	3
FAM243A	0	2	4	2	0	5
URAHP	7	24	12	37	5	22
HDAC4-AS1	8	6	9	0	10	2
AC112721.1	3	149	46	104	47	51
AC004945.1	0	2	0	0	0	0
AC112721.2	63	65	59	36	21	51
KIAA2012-AS1	0	6	6	8	0	8
POTEJ	1	2	3	3	3	0
CYTOR	0	2	7	64	69	0
AC079305.1	0	7	11	13	7	0
DCDC2B	0	20	2	15	9	0
RNU6-1165P	0	0	0	1	0	0
RNU4-62P	1	1	2	1	3	0
MIR1915	0	0	0	0	3	0
RNU6-908P	0	0	0	2	0	0
RNA5SP317	0	1	0	4	0	1
RN7SKP16	0	5	2	8	15	10
RNA5SP239	2	0	0	0	0	0
RNU2-17P	0	0	0	1	0	0
RNA5SP201	0	1	1	0	0	0
RNU6-101P	0	0	0	1	0	0
RNU6-757P	0	0	0	1	0	0
RNU6-892P	0	0	0	1	0	0
RNA5SP371	0	0	0	1	0	0
RNU2-2P	0	1	1	1	5	2
SNORD19C	0	1	0	0	0	1
RNY1P15	0	2	0	0	0	0
SNORD12B	2	1	3	1	2	0
RNA5SP44	0	0	2	0	0	0
RNA5SP203	0	1	0	2	3	0
RNU2-28P	6	1	1	4	0	0
RNU4-65P	1	0	0	0	0	0
RNU6-1077P	0	1	0	2	0	0
RN7SKP56	0	0	0	0	2	0
RN7SKP150	1	0	0	6	0	1
RN7SKP271	0	2	0	0	0	0
RNU2-5P	0	1	2	0	0	0
SNORA79B	0	9	0	0	2	1
RNU4-25P	0	0	0	2	1	2
RNU6-1064P	1	0	1	1	1	0
RNU6-628P	0	0	0	1	0	0
RNU2-37P	1	2	0	2	0	0
RNU2-51P	0	0	2	3	0	0
RN7SKP213	7	6	0	0	0	0
RNU4-72P	0	1	0	0	0	0
RN7SKP38	0	2	1	0	0	0
RNU2-7P	0	0	0	0	1	0
RNU4-46P	1	0	0	1	0	0
RNU4-47P	0	7	20	17	10	2
RNU2-68P	1	2	12	2	4	0
RNU4-78P	0	0	0	1	0	0
RN7SKP97	0	2	0	2	0	0
RNU6-564P	0	0	1	3	1	0
RNA5SP104	2	0	0	0	0	0
SNORD63B	0	1	1	1	1	0
MIR1913	0	0	0	1	0	0
RNU4-22P	0	0	0	3	0	0
RNA5SP184	0	4	2	0	2	3
RN7SKP268	0	0	0	2	0	0
RNU6-1245P	0	1	0	0	0	0
RNA5SP155	1	1	4	6	5	2
RNA5SP115	0	1	0	0	0	0
RN7SKP296	0	0	0	2	1	0
RNA5SP450	0	0	2	3	0	1
RN7SKP252	0	0	0	0	2	0
RNU2-22P	0	0	0	0	1	0
SNORD71	0	0	0	1	0	0
RNU2-64P	0	2	0	0	0	0
RNU6-387P	0	0	0	3	0	1
RNA5SP498	0	0	2	0	4	0
RNU6-195P	0	1	0	2	0	0
RNY3P8	0	0	2	4	0	2
RN7SKP30	0	0	0	2	2	1
RNU6-1304P	0	0	0	0	1	0
RNU6-722P	1	0	4	2	1	2
RNU6-516P	6	6	3	3	4	0
RN7SKP273	0	0	2	2	0	0
AL158817.1	0	0	0	2	0	0
AC137630.1	2	0	8	9	11	4
HIST2H2BA	1	34	14	20	15	12
IGLV9-49	0	0	0	0	0	2
AL590666.1	4	6	5	30	7	4
FTH1P10	77	43	135	85	84	16
AC005104.1	0	11	5	12	9	1
AL391987.3	1	1	1	0	0	0
LINC01778	0	4	0	8	5	3
LINC02068	0	0	0	3	7	0
AL445685.1	0	8	0	0	2	0
AL118511.1	0	0	7	0	0	0
RPS10P7	46	43	19	4	52	10
MEG9	4	28	41	21	11	8
RPL17P17	0	0	0	3	0	3
RPS26P15	9	7	24	43	18	16
AC016716.1	0	0	0	1	0	2
MTND6P21	0	0	0	2	0	0
TMSB4XP3	0	1	0	0	0	0
TH2LCRR	0	0	1	1	2	0
TCAF1P1	1519	5089	3405	3414	1907	2112
GAPDHP69	1	0	1	0	2	0
AC004471.1	0	0	15	6	0	0
LINC02629	4	0	0	3	3	0
VN1R42P	0	1	0	0	1	0
AL441992.1	20	67	43	35	37	15
NUTM2A-AS1	128	185	378	430	389	261
LINC01615	0	0	2	0	0	0
AC092198.1	0	0	0	3	0	0
NEFHP1	0	1	1	0	2	0
AL391097.1	0	0	10	7	0	0
EXOSC6	1135	2296	2147	1662	1758	1015
AC083862.1	0	0	0	7	0	0
VPS52	480	1097	1187	1615	1389	795
AL353807.1	0	0	0	0	4	2
AC114402.1	0	0	0	3	0	0
RPL23AP53	52	96	108	143	126	71
AC135983.2	10	99	30	33	66	81
CDRT15	0	7	0	0	5	0
AL683807.1	0	0	0	0	4	0
ATP6V0E1P2	1	2	2	1	0	0
CSNK1A1P1	2	0	0	1	0	3
KIF28P	2	15	0	4	5	0
AC093690.1	0	28	19	14	12	3
RABGAP1L-IT1	16	0	6	0	0	0
AL359094.1	21	3	0	0	0	0
EEF1A1P8	1	1	1	1	1	0
HLA-DQB1-AS1	9	2	0	0	0	0
RPS15AP5	0	0	0	1	0	0
AL024497.1	84	12	26	10	8	4
AC005838.1	0	0	0	2	0	0
LINC00630	0	17	42	30	39	28
ZNF844	278	364	397	0	344	240
MTND5P28	1	0	0	0	2	0
TMSB4XP4	3	2	10	5	3	5
TRIM60P17	2	2	2	0	0	0
AC005165.1	0	4	0	0	7	3
CYP4F32P	18	0	0	0	0	0
USP17L15	0	0	0	1	1	1
DHRSX-IT1	1	5	0	4	2	3
CKMT1A	0	0	6	6	5	0
TINCR	8	26	14	13	10	7
RBMX2P3	194	2	27	9	3	0
AL513365.1	1	0	1	0	3	0
LINC01312	0	0	0	0	2	0
CENPVL1	0	2	2	0	0	0
FNDC3CP	0	0	0	0	0	2
AL356806.1	0	0	3	0	0	0
AL138733.1	0	0	2	2	2	0
AL513523.1	0	3	0	0	0	0
EBLN1	0	11	0	0	0	0
HBD	0	0	0	9	48	0
AC241585.1	7	19	28	22	15	10
AK4P4	0	16	8	5	0	0
AL133268.2	0	0	0	0	2	0
UHRF2P1	0	0	0	0	3	6
AL049812.1	0	3	1	0	1	0
AC106786.1	0	13	13	9	6	0
AL078459.1	8	12	12	22	11	6
